,.,BFP (norm.),BFP (norm.),BFP (norm.),BFP (norm.),BFP (norm.),GFP (norm.),GFP (norm.),GFP (norm.),GFP (norm.),GFP (norm.)
,Distance (mm),64h,88h,112h,136h,160h,64h,88h,112h,136h,160h
43,0.14427155688123666,0.061644964,0.07232037,0.08049677,0.15627596,0.082289875,0.7961868,0.8875822,0.9098984,0.97479355,0.9567665
44,0.1476267093668468,0.063513204,0.074790284,0.08184994,0.1579991,0.08499507,0.7908265,0.8820266,0.90605414,0.9736458,0.9569024
45,0.15098186185245696,0.06536267,0.07726201,0.08316016,0.15965733,0.08765778,0.7858806,0.8762352,0.9022549,0.9725391,0.9571612
46,0.15433701433806712,0.06718077,0.07973201,0.0844363,0.16126052,0.09027547,0.7813197,0.8702476,0.89851826,0.9714787,0.9575491
47,0.15769216682367726,0.06895566,0.08219502,0.0856877,0.16282097,0.092846,0.7771089,0.8641119,0.894861,0.9704665,0.9580704
48,0.16104731930928742,0.07067699,0.08464834,0.086924426,0.16435121,0.09536937,0.77321434,0.85787904,0.8912992,0.9695006,0.95872366
49,0.1644024717948976,0.07233569,0.08708778,0.08815548,0.1658653,0.09784708,0.7695898,0.85160595,0.887843,0.9685766,0.95950496
50,0.16775762428050772,0.07392419,0.089510806,0.0893909,0.16737725,0.10028167,0.76619583,0.84534794,0.88450193,0.9676848,0.9604048
51,0.17111277676611789,0.07543663,0.09191433,0.0906397,0.1689016,0.10267739,0.7629839,0.8391612,0.88127697,0.9668118,0.9614112
52,0.17446792925172805,0.07686872,0.09429565,0.09191075,0.17045243,0.10503806,0.7599076,0.83309835,0.8781649,0.9659407,0.9625067
53,0.17782308173733818,0.07821803,0.09665284,0.09321269,0.17204387,0.10736942,0.75692,0.82720673,0.8751561,0.96505076,0.96367407
54,0.18117823422294835,0.07948283,0.098984,0.09455249,0.17368901,0.10967657,0.7539711,0.8215306,0.8722326,0.9641201,0.9648917
55,0.1845333867085585,0.08066367,0.101287425,0.09593713,0.17539987,0.11196609,0.7510167,0.81610274,0.8693735,0.9631231,0.96614057
56,0.18788853919416865,0.081762046,0.10356246,0.09737184,0.17718728,0.1142435,0.7480083,0.8109514,0.8665485,0.96203583,0.9674007
57,0.1912436916797788,0.08278029,0.10580874,0.09886122,0.17906085,0.116514966,0.7449057,0.8060948,0.86372536,0.96083426,0.96865505
58,0.19459884416538897,0.08372172,0.10802619,0.100408934,0.18102805,0.11878749,0.7416667,0.8015402,0.8608664,0.959494,0.9698903
59,0.19795399665099914,0.084591135,0.11021644,0.10201653,0.18309426,0.12106723,0.73825705,0.7972908,0.8579334,0.9579965,0.9710964
60,0.20130914913660927,0.085393116,0.112381026,0.103685424,0.18526334,0.123361,0.7346447,0.7933344,0.8548871,0.95632213,0.9722691
61,0.20466430162221944,0.08613397,0.1145233,0.105415374,0.1875366,0.12567516,0.7308044,0.7896582,0.8516882,0.9544599,0.9734084
62,0.2080194541078296,0.086819135,0.11664635,0.10720568,0.18991312,0.12801714,0.7267176,0.7862369,0.8483037,0.95239913,0.9745194
63,0.21137460659343973,0.087455645,0.11875544,0.109054446,0.19238998,0.1303929,0.7223695,0.7830406,0.84470034,0.950136,0.97561175
64,0.2147297590790499,0.08805076,0.12085527,0.11095942,0.19496195,0.13280943,0.7177578,0.7800381,0.84085506,0.9476719,0.9766978
65,0.21808491156466006,0.08861152,0.122952476,0.11291776,0.19762208,0.13527249,0.71288013,0.77718776,0.83674914,0.9450081,0.97779244
66,0.2214400640502702,0.08914625,0.12505285,0.11492592,0.20036197,0.1377882,0.70774907,0.77445644,0.8323708,0.94215715,0.9789125
67,0.22479521653588036,0.08966252,0.1271634,0.11698095,0.20317106,0.1403615,0.7023768,0.77179945,0.8277203,0.9391278,0.9800714
68,0.22815036902149052,0.09016919,0.12929007,0.11907857,0.20603825,0.14299618,0.6967867,0.7691803,0.82280046,0.93593645,0.98128474
69,0.23150552150710066,0.09067458,0.13143915,0.121215366,0.20895194,0.14569606,0.6910056,0.76656276,0.8176278,0.93259907,0.9825601
70,0.23486067399271082,0.09118733,0.13361552,0.1233873,0.2118993,0.14846307,0.68506265,0.7639088,0.8122221,0.9291328,0.9839045
71,0.23821582647832099,0.091716506,0.13582318,0.12558977,0.21486814,0.15129782,0.6789957,0.76119375,0.80661124,0.925556,0.9853171
72,0.24157097896393115,0.09227044,0.13806438,0.1278191,0.2178461,0.15420078,0.67283785,0.7583855,0.80083084,0.9218839,0.98678994
73,0.24492613144954128,0.09285777,0.14034006,0.13007009,0.22082123,0.15717041,0.66662896,0.75546676,0.79491454,0.9181324,0.9883128
74,0.24828128393515145,0.09348649,0.142648,0.13233836,0.22378206,0.16020462,0.66040266,0.7524179,0.78890806,0.91431236,0.9898633
75,0.2516364364207616,0.094164394,0.14498542,0.13461834,0.22671847,0.16330065,0.6541942,0.74922544,0.7828491,0.91043407,0.9914197
76,0.25499158890637175,0.09489831,0.14734551,0.13690446,0.22962,0.1664555,0.64803255,0.7458824,0.77678245,0.9065021,0.99294996
77,0.2583467413919819,0.09569486,0.14972058,0.1391912,0.23247811,0.16966495,0.64194286,0.74237925,0.7707487,0.9025193,0.9944214
78,0.2617018938775921,0.09655937,0.15210016,0.14147188,0.23528439,0.17292643,0.63594615,0.7387173,0.7647826,0.8984835,0.99579734
79,0.2650570463632022,0.097496316,0.15447168,0.14374039,0.23803149,0.17623591,0.63005596,0.7348917,0.7589238,0.89439124,0.99703944
80,0.2684121988488124,0.098509334,0.15682198,0.14599043,0.2407122,0.17959128,0.6242813,0.73090434,0.753195,0.89023644,0.9981103
81,0.27176735133442254,0.09960013,0.15913492,0.1482155,0.24332038,0.18298934,0.6186235,0.7267554,0.7476263,0.88601196,0.9989735
