,promoter stregth,signaling threshold,feedback strength,% shared interface,delay time,Mean wavefront speed
0,0.5,0.01,0.0,10.0,0.1,3.703056
1,0.5,0.01412537544622754,0.0,10.0,0.1,3.091803
2,0.5,0.0199526231496888,0.0,10.0,0.1,2.5034733
3,0.5,0.028183829312644536,0.0,10.0,0.1,1.9491409
4,0.5,0.039810717055349734,0.0,10.0,0.1,1.4203148
5,0.5,0.05623413251903491,0.0,10.0,0.1,0.9913031
6,0.5,0.07943282347242814,0.0,10.0,0.1,0.5835728
7,0.5,0.11220184543019636,0.0,10.0,0.1,0.35270962
8,0.5,0.15848931924611134,0.0,10.0,0.1,0.17281625
9,0.5,0.2238721138568339,0.0,10.0,0.1,0.17281625
10,0.5,0.31622776601683794,0.0,10.0,0.1,0.0
11,1.0,0.01,0.0,10.0,0.1,5.3059945
12,1.0,0.01412537544622754,0.0,10.0,0.1,4.638955
13,1.0,0.0199526231496888,0.0,10.0,0.1,3.9600837
14,1.0,0.028183829312644536,0.0,10.0,0.1,3.2867093
15,1.0,0.039810717055349734,0.0,10.0,0.1,2.631498
16,1.0,0.05623413251903491,0.0,10.0,0.1,2.003519
17,1.0,0.07943282347242814,0.0,10.0,0.1,1.463089
18,1.0,0.11220184543019636,0.0,10.0,0.1,0.9913031
19,1.0,0.15848931924611134,0.0,10.0,0.1,0.53372824
20,1.0,0.2238721138568339,0.0,10.0,0.1,0.27360246
21,1.0,0.31622776601683794,0.0,10.0,0.1,0.17281625
22,1.5,0.01,0.0,10.0,0.1,6.1970778
23,1.5,0.01412537544622754,0.0,10.0,0.1,5.560392
24,1.5,0.0199526231496888,0.0,10.0,0.1,4.8757787
25,1.5,0.028183829312644536,0.0,10.0,0.1,4.163165
26,1.5,0.039810717055349734,0.0,10.0,0.1,3.461907
27,1.5,0.05623413251903491,0.0,10.0,0.1,2.7707071
28,1.5,0.07943282347242814,0.0,10.0,0.1,2.1279612
29,1.5,0.11220184543019636,0.0,10.0,0.1,1.5652392
30,1.5,0.15848931924611134,0.0,10.0,0.1,1.050075
31,1.5,0.2238721138568339,0.0,10.0,0.1,0.53372824
32,1.5,0.31622776601683794,0.0,10.0,0.1,0.17281625
33,2.0,0.01,0.0,10.0,0.1,6.7651434
34,2.0,0.01412537544622754,0.0,10.0,0.1,6.173515
35,2.0,0.0199526231496888,0.0,10.0,0.1,5.522566
36,2.0,0.028183829312644536,0.0,10.0,0.1,4.8179064
37,2.0,0.039810717055349734,0.0,10.0,0.1,4.0897593
