,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
0,cell_000,0,0,0.0,1.0000000000000002,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
1,cell_003,1,0,0.0,4.0343618611584826e-20,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
2,cell_015,2,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
3,cell_035,3,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
4,cell_057,4,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
5,cell_086,5,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
6,cell_126,6,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
7,cell_181,7,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
8,cell_240,8,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
9,cell_296,9,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
10,cell_351,10,0,0.0,0.0,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
11,cell_000,0,1,0.04,0.9999999999999997,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
12,cell_003,1,1,0.04,0.019636783308373925,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
13,cell_015,2,1,0.04,3.928762649718979e-08,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
14,cell_035,3,1,0.04,3.928762649718979e-08,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
15,cell_057,4,1,0.04,3.928762649718979e-08,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
16,cell_086,5,1,0.04,3.928762649718979e-08,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
17,cell_126,6,1,0.04,3.928762649718979e-08,0.5,0.0031622776601683794,2.0,0.0,1e-06,0.4,0
