,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
790,cell_296,9,71,2.84,9.419089728458448e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
791,cell_351,10,71,2.84,9.419068434918405e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
792,cell_000,0,72,2.88,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
793,cell_003,1,72,2.88,0.13446087333813012,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
794,cell_015,2,72,2.88,0.0014689972176531846,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
795,cell_035,3,72,2.88,9.937069694960992e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
796,cell_057,4,72,2.88,9.441914016111038e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
797,cell_086,5,72,2.88,9.441913958257278e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
798,cell_126,6,72,2.88,9.441913958257273e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
799,cell_181,7,72,2.88,9.441913958257273e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
800,cell_240,8,72,2.88,9.441913958257273e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
801,cell_296,9,72,2.88,9.441913958226962e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
802,cell_351,10,72,2.88,9.441892268265586e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
803,cell_000,0,73,2.92,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
804,cell_003,1,73,2.92,0.13520534233991993,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
805,cell_015,2,73,2.92,0.0015098542536104186,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
806,cell_035,3,73,2.92,1.0004857334039191e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
807,cell_057,4,73,2.92,9.463841557061461e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
808,cell_086,5,73,2.92,9.463841490262717e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
809,cell_126,6,73,2.92,9.463841490262712e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
810,cell_181,7,73,2.92,9.463841490262712e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
811,cell_240,8,73,2.92,9.463841490262712e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
812,cell_296,9,73,2.92,9.463841490230956e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
813,cell_351,10,73,2.92,9.463819410385415e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
814,cell_000,0,74,2.96,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
815,cell_003,1,74,2.96,0.13593464589066362,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
816,cell_015,2,74,2.96,0.0015508319691900294,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
817,cell_035,3,74,2.96,1.0074708709435692e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
818,cell_057,4,74,2.96,9.48490763000847e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
819,cell_086,5,74,2.96,9.484907553198556e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
820,cell_126,6,74,2.96,9.484907553198552e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
821,cell_181,7,74,2.96,9.484907553198552e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
822,cell_240,8,74,2.96,9.484907553198552e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
823,cell_296,9,74,2.96,9.48490755316533e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
824,cell_351,10,74,2.96,9.484885090039924e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
825,cell_000,0,75,3.0,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
826,cell_003,1,75,3.0,0.13664913077578306,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
827,cell_015,2,75,3.0,0.0015919135011818741,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
828,cell_035,3,75,3.0,1.014674749629176e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
829,cell_057,4,75,3.0,9.505146079696642e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
830,cell_086,5,75,3.0,9.50514599172166e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
831,cell_126,6,75,3.0,9.505145991721658e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
832,cell_181,7,75,3.0,9.505145991721658e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
833,cell_240,8,75,3.0,9.505145991721658e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
834,cell_296,9,75,3.0,9.505145991686957e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
835,cell_351,10,75,3.0,9.505123151940147e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
836,cell_000,0,76,3.04,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
837,cell_003,1,76,3.04,0.13734913502698198,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
838,cell_015,2,76,3.04,0.0016330823901720701,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
839,cell_035,3,76,3.04,1.0221093819381275e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
840,cell_057,4,76,3.04,9.524589421211322e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
841,cell_086,5,76,3.04,9.524589320826152e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
842,cell_126,6,76,3.04,9.524589320826148e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
843,cell_181,7,76,3.04,9.524589320826148e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
844,cell_240,8,76,3.04,9.524589320826148e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
845,cell_296,9,76,3.04,9.524589320789949e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
846,cell_351,10,76,3.04,9.524566111122128e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
847,cell_000,0,77,3.08,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
848,cell_003,1,77,3.08,0.1380349881506812,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
849,cell_015,2,77,3.08,0.0016743225805507097,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
850,cell_035,3,77,3.08,1.0297864122726592e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
851,cell_057,4,77,3.08,9.543268892217468e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
852,cell_086,5,77,3.08,9.543268778082368e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
853,cell_126,6,77,3.08,9.543268778082364e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
854,cell_181,7,77,3.08,9.543268778082364e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
855,cell_240,8,77,3.08,9.543268778082364e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
856,cell_296,9,77,3.08,9.543268778044656e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
