,roi,x,y,video
0,0,244.953095684803,587.3625000000002,2500_A
1,0,284.57786116322706,994.1625,2500_A
2,0,335.00938086303944,1436.9625,2500_A
3,0,1556.172607879925,1439.3624908447266,2500_A
4,0,1916.3977485928706,1048.1625,2500_A
5,0,1912.7954971857407,325.7624267578126,2500_A
6,0,1628.2176360225144,6.562463378906614,2500_A
7,0,183.71482176360226,6.562463378906614,2500_A
8,0,180.11257035647282,143.36246337890657,2500_A
0,1,1768.705440900563,574.1624267578127,10000_B
1,1,1358.048780487805,1438.1624267578125,10000_B
2,1,3.602251407129456,1430.9624267578124,10000_B
3,1,3.602251407129456,5.3624267578125,10000_B
4,1,1476.9230769230771,8.962426757812409,10000_B
0,2,0.0,756.5625,10000_C
1,2,882.5515947467168,1434.5624267578125,10000_C
2,2,1534.5590994371482,1438.1624267578125,10000_C
3,2,1747.0919324577862,5.3624267578125,10000_C
4,2,0.0,5.3624267578125,10000_C
5,2,0.0,5.3624267578125,10000_C
6,2,0.0,232.16242675781245,10000_C
0,3,1912.7954971857407,636.5624633789063,20000_A
1,3,201.72607879924956,166.1624999999999,20000_A
2,3,104.46529080675423,842.9625,20000_A
3,3,104.46529080675423,1436.9625,20000_A
4,3,1747.0919324577862,1433.3625,20000_A
5,3,1916.3977485928706,1325.3625,20000_A
0,4,3.602251407129456,1038.5624267578125,20000_B
1,4,612.3827392120076,1438.1624267578125,20000_B
2,4,1451.7073170731708,1439.3624633789063,20000_B
3,4,1912.7954971857407,1102.1625,20000_B
4,4,1916.3977485928706,4.162499999999909,20000_B
5,4,3.602251407129456,7.7625000000000455,20000_B
6,4,0.0,22.16249999999991,20000_B
7,4,0.0,79.76250000000005,20000_B
0,5,1739.8874296435272,1435.7624633789062,20000_C
1,5,1743.4896810506568,2.96246337890625,20000_C
2,5,0.0,2.96246337890625,20000_C
3,5,3.602251407129456,1435.7624633789062,20000_C
0,6,10.806754221388367,558.5625,40000_A
1,6,363.82739212007516,1070.9624816894532,40000_A
2,6,1249.9812382739212,1279.7624816894531,40000_A
3,6,1653.4333958724203,5.3624267578125,40000_A
4,6,3.602251407129456,1.762426757812591,40000_A
5,6,3.602251407129456,512.9624267578123,40000_A
0,7,435.8724202626642,361.76248168945335,40000_B
1,7,327.8048780487805,527.3624816894533,40000_B
2,7,273.7711069418386,1435.7624633789062,40000_B
3,7,932.9831144465293,1436.9625,40000_B
4,7,1498.5365853658536,1142.9624997138976,40000_B
5,7,1912.7954971857407,923.3624267578125,40000_B
6,7,987.0168855534711,107.36246337890657,40000_B
7,7,637.5984990619138,162.5625,40000_B
8,7,637.5984990619138,162.5625,40000_B
9,7,507.9174484052533,281.36249999999995,40000_B
0,8,1912.7954971857407,728.9624816894533,80000_B
1,8,1714.6716697936208,541.7624816894531,80000_B
2,8,1703.8649155722326,5.362481689453034,80000_B
3,8,0.0,1.762481689453125,80000_B
4,8,0.0,1434.562481689453,80000_B
5,8,1912.7954971857407,1438.1624816894532,80000_B
6,8,1916.3977485928706,1117.7624816894531,80000_B
0,9,100.86303939962477,1435.7624633789062,80000_C
1,9,100.86303939962477,1003.7624633789062,80000_C
2,9,3.602251407129456,845.3624633789062,80000_C
3,9,0.0,2.96246337890625,80000_C
4,9,997.8236397748593,6.562463378906614,80000_C
5,9,1062.6641651031896,164.96246337890625,80000_C
6,9,1916.3977485928706,168.5624633789066,80000_C
7,9,1916.3977485928706,1075.7624633789062,80000_C
8,9,1430.093808630394,1126.1624633789063,80000_C
9,9,1059.0619136960602,1313.3624633789063,80000_C
10,9,961.8011257035647,1435.7624633789062,80000_C
0,10,1548.968105065666,961.7625,160000_A
1,10,1912.7954971857407,497.36249999999995,160000_A
2,10,1912.7954971857407,0.5625,160000_A
3,10,0.0,4.162499999999909,160000_A
4,10,0.0,1040.9625,160000_A
5,10,147.69230769230768,1130.9625,160000_A
6,10,172.9080675422139,1436.9625,160000_A
7,10,1408.480300187617,1433.3625,160000_A
0,11,529.5309568480301,6.562463378906614,160000_C
1,11,277.3733583489681,272.96246337890625,160000_C
2,11,277.3733583489681,557.3624633789062,160000_C
3,11,561.9512195121952,1435.7624633789062,160000_C
4,11,1916.3977485928706,1435.7624633789062,160000_C
5,11,1912.7954971857407,2.96246337890625,160000_C
