,filename,p0,J,v0,f,dt,a,k,L,Dr,D_eff
39,p03.90_J-0.16_v03.16e-02.npy,3.9,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,0.06694878334477879
40,p04.00_J-0.00_v03.16e-02.npy,4.0,-0.0,0.031622776601683784,200,0.05,0.4,2,10,0.01,0.0024176809491384685
41,p04.00_J-0.04_v03.16e-02.npy,4.0,-0.04,0.031622776601683784,200,0.05,0.4,2,10,0.01,0.05342583530851102
42,p04.00_J-0.08_v03.16e-02.npy,4.0,-0.08,0.031622776601683784,200,0.05,0.4,2,10,0.01,0.08428459293834423
43,p04.00_J-0.12_v03.16e-02.npy,4.0,-0.12,0.031622776601683784,200,0.05,0.4,2,10,0.01,0.09441008590756418
44,p04.00_J-0.16_v03.16e-02.npy,4.0,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,0.08875848233614127
45,p03.20_J-0.00_v01.00e-01.npy,3.2,-0.0,0.1,200,0.05,0.4,2,10,0.01,1.0150330558276742e-06
46,p03.20_J-0.04_v01.00e-01.npy,3.2,-0.04,0.1,200,0.05,0.4,2,10,0.01,7.337948827622538e-06
47,p03.20_J-0.08_v01.00e-01.npy,3.2,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.0015904308743688743
48,p03.20_J-0.12_v01.00e-01.npy,3.2,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.007304152908358569
49,p03.20_J-0.16_v01.00e-01.npy,3.2,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.011014310756807555
50,p03.30_J-0.00_v01.00e-01.npy,3.3000000000000003,-0.0,0.1,200,0.05,0.4,2,10,0.01,1.0347015048446417e-06
51,p03.30_J-0.04_v01.00e-01.npy,3.3000000000000003,-0.04,0.1,200,0.05,0.4,2,10,0.01,1.3108877433116682e-06
52,p03.30_J-0.08_v01.00e-01.npy,3.3000000000000003,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.002003176332555646
53,p03.30_J-0.12_v01.00e-01.npy,3.3000000000000003,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.008243406186229874
54,p03.30_J-0.16_v01.00e-01.npy,3.3000000000000003,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.007481056782210081
55,p03.40_J-0.00_v01.00e-01.npy,3.4000000000000004,-0.0,0.1,200,0.05,0.4,2,10,0.01,5.021570741779424e-08
56,p03.40_J-0.04_v01.00e-01.npy,3.4000000000000004,-0.04,0.1,200,0.05,0.4,2,10,0.01,5.010815784190789e-06
57,p03.40_J-0.08_v01.00e-01.npy,3.4000000000000004,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.004278637976819563
58,p03.40_J-0.12_v01.00e-01.npy,3.4000000000000004,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.007006737762865038
59,p03.40_J-0.16_v01.00e-01.npy,3.4000000000000004,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.01018430715679757
60,p03.50_J-0.00_v01.00e-01.npy,3.5,-0.0,0.1,200,0.05,0.4,2,10,0.01,9.175418263164937e-07
61,p03.50_J-0.04_v01.00e-01.npy,3.5,-0.04,0.1,200,0.05,0.4,2,10,0.01,0.0001326961116070792
62,p03.50_J-0.08_v01.00e-01.npy,3.5,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.005775807716050643
63,p03.50_J-0.12_v01.00e-01.npy,3.5,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.008195286787686424
64,p03.50_J-0.16_v01.00e-01.npy,3.5,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.007883560865359426
65,p03.60_J-0.00_v01.00e-01.npy,3.6,-0.0,0.1,200,0.05,0.4,2,10,0.01,1.8370644810512488e-06
66,p03.60_J-0.04_v01.00e-01.npy,3.6,-0.04,0.1,200,0.05,0.4,2,10,0.01,0.0006519293875986616
67,p03.60_J-0.08_v01.00e-01.npy,3.6,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.005410303287852979
68,p03.60_J-0.12_v01.00e-01.npy,3.6,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.0065975583767072885
69,p03.60_J-0.16_v01.00e-01.npy,3.6,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.007217388273470027
70,p03.70_J-0.00_v01.00e-01.npy,3.7,-0.0,0.1,200,0.05,0.4,2,10,0.01,4.23525103157341e-07
71,p03.70_J-0.04_v01.00e-01.npy,3.7,-0.04,0.1,200,0.05,0.4,2,10,0.01,0.0014279502740867968
72,p03.70_J-0.08_v01.00e-01.npy,3.7,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.005588028462378204
73,p03.70_J-0.12_v01.00e-01.npy,3.7,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.006845343836351717
74,p03.70_J-0.16_v01.00e-01.npy,3.7,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.005889488722292989
75,p03.80_J-0.00_v01.00e-01.npy,3.8,-0.0,0.1,200,0.05,0.4,2,10,0.01,7.314389003127016e-06
76,p03.80_J-0.04_v01.00e-01.npy,3.8,-0.04,0.1,200,0.05,0.4,2,10,0.01,0.0032149943014463988
77,p03.80_J-0.08_v01.00e-01.npy,3.8,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.00418948811312391
78,p03.80_J-0.12_v01.00e-01.npy,3.8,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.006860655312627248
79,p03.80_J-0.16_v01.00e-01.npy,3.8,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.006711378849101775
80,p03.90_J-0.00_v01.00e-01.npy,3.9,-0.0,0.1,200,0.05,0.4,2,10,0.01,4.080234728830395e-05
81,p03.90_J-0.04_v01.00e-01.npy,3.9,-0.04,0.1,200,0.05,0.4,2,10,0.01,0.00485185727232151
82,p03.90_J-0.08_v01.00e-01.npy,3.9,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.010424892229330879
83,p03.90_J-0.12_v01.00e-01.npy,3.9,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.008474306109309023
84,p03.90_J-0.16_v01.00e-01.npy,3.9,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.008594744667828986
85,p04.00_J-0.00_v01.00e-01.npy,4.0,-0.0,0.1,200,0.05,0.4,2,10,0.01,0.0006682442453576432
86,p04.00_J-0.04_v01.00e-01.npy,4.0,-0.04,0.1,200,0.05,0.4,2,10,0.01,0.005789908101637506
87,p04.00_J-0.08_v01.00e-01.npy,4.0,-0.08,0.1,200,0.05,0.4,2,10,0.01,0.009396174394907812
88,p04.00_J-0.12_v01.00e-01.npy,4.0,-0.12,0.1,200,0.05,0.4,2,10,0.01,0.006837781671657909
89,p04.00_J-0.16_v01.00e-01.npy,4.0,-0.16,0.1,200,0.05,0.4,2,10,0.01,0.008227607770440248
90,p03.20_J-0.00_v03.16e-01.npy,3.2,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,3.773586905556323e-08
91,p03.20_J-0.04_v03.16e-01.npy,3.2,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,6.079118107831722e-08
92,p03.20_J-0.08_v03.16e-01.npy,3.2,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,8.302835008292099e-05
93,p03.20_J-0.12_v03.16e-01.npy,3.2,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,0.00048732167519254167
94,p03.20_J-0.16_v03.16e-01.npy,3.2,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,0.0008422738797559892
95,p03.30_J-0.00_v03.16e-01.npy,3.3000000000000003,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,3.9661050789930334e-07
96,p03.30_J-0.04_v03.16e-01.npy,3.3000000000000003,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.0687416912607756e-06
97,p03.30_J-0.08_v03.16e-01.npy,3.3000000000000003,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,0.00023300529576772362
98,p03.30_J-0.12_v03.16e-01.npy,3.3000000000000003,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,0.0007106237326269708
