,filename,p0,J,v0,f,dt,a,k
39,data/2020-08-19_avm_phase_sims/p03.90_J-0.16_v03.16e-02,3.9,-0.16,0.03162277660168379,200,0.05,0.4,2
40,data/2020-08-19_avm_phase_sims/p04.00_J-0.00_v03.16e-02,4.0,-0.0,0.03162277660168379,200,0.05,0.4,2
41,data/2020-08-19_avm_phase_sims/p04.00_J-0.04_v03.16e-02,4.0,-0.04,0.03162277660168379,200,0.05,0.4,2
42,data/2020-08-19_avm_phase_sims/p04.00_J-0.08_v03.16e-02,4.0,-0.08,0.03162277660168379,200,0.05,0.4,2
43,data/2020-08-19_avm_phase_sims/p04.00_J-0.12_v03.16e-02,4.0,-0.12,0.03162277660168379,200,0.05,0.4,2
44,data/2020-08-19_avm_phase_sims/p04.00_J-0.16_v03.16e-02,4.0,-0.16,0.03162277660168379,200,0.05,0.4,2
45,data/2020-08-19_avm_phase_sims/p03.20_J-0.00_v01.00e-01,3.2,-0.0,0.1,200,0.05,0.4,2
46,data/2020-08-19_avm_phase_sims/p03.20_J-0.04_v01.00e-01,3.2,-0.04,0.1,200,0.05,0.4,2
47,data/2020-08-19_avm_phase_sims/p03.20_J-0.08_v01.00e-01,3.2,-0.08,0.1,200,0.05,0.4,2
48,data/2020-08-19_avm_phase_sims/p03.20_J-0.12_v01.00e-01,3.2,-0.12,0.1,200,0.05,0.4,2
49,data/2020-08-19_avm_phase_sims/p03.20_J-0.16_v01.00e-01,3.2,-0.16,0.1,200,0.05,0.4,2
50,data/2020-08-19_avm_phase_sims/p03.30_J-0.00_v01.00e-01,3.3000000000000003,-0.0,0.1,200,0.05,0.4,2
51,data/2020-08-19_avm_phase_sims/p03.30_J-0.04_v01.00e-01,3.3000000000000003,-0.04,0.1,200,0.05,0.4,2
52,data/2020-08-19_avm_phase_sims/p03.30_J-0.08_v01.00e-01,3.3000000000000003,-0.08,0.1,200,0.05,0.4,2
53,data/2020-08-19_avm_phase_sims/p03.30_J-0.12_v01.00e-01,3.3000000000000003,-0.12,0.1,200,0.05,0.4,2
54,data/2020-08-19_avm_phase_sims/p03.30_J-0.16_v01.00e-01,3.3000000000000003,-0.16,0.1,200,0.05,0.4,2
55,data/2020-08-19_avm_phase_sims/p03.40_J-0.00_v01.00e-01,3.4000000000000004,-0.0,0.1,200,0.05,0.4,2
56,data/2020-08-19_avm_phase_sims/p03.40_J-0.04_v01.00e-01,3.4000000000000004,-0.04,0.1,200,0.05,0.4,2
57,data/2020-08-19_avm_phase_sims/p03.40_J-0.08_v01.00e-01,3.4000000000000004,-0.08,0.1,200,0.05,0.4,2
58,data/2020-08-19_avm_phase_sims/p03.40_J-0.12_v01.00e-01,3.4000000000000004,-0.12,0.1,200,0.05,0.4,2
59,data/2020-08-19_avm_phase_sims/p03.40_J-0.16_v01.00e-01,3.4000000000000004,-0.16,0.1,200,0.05,0.4,2
60,data/2020-08-19_avm_phase_sims/p03.50_J-0.00_v01.00e-01,3.5,-0.0,0.1,200,0.05,0.4,2
61,data/2020-08-19_avm_phase_sims/p03.50_J-0.04_v01.00e-01,3.5,-0.04,0.1,200,0.05,0.4,2
62,data/2020-08-19_avm_phase_sims/p03.50_J-0.08_v01.00e-01,3.5,-0.08,0.1,200,0.05,0.4,2
63,data/2020-08-19_avm_phase_sims/p03.50_J-0.12_v01.00e-01,3.5,-0.12,0.1,200,0.05,0.4,2
64,data/2020-08-19_avm_phase_sims/p03.50_J-0.16_v01.00e-01,3.5,-0.16,0.1,200,0.05,0.4,2
65,data/2020-08-19_avm_phase_sims/p03.60_J-0.00_v01.00e-01,3.6,-0.0,0.1,200,0.05,0.4,2
66,data/2020-08-19_avm_phase_sims/p03.60_J-0.04_v01.00e-01,3.6,-0.04,0.1,200,0.05,0.4,2
67,data/2020-08-19_avm_phase_sims/p03.60_J-0.08_v01.00e-01,3.6,-0.08,0.1,200,0.05,0.4,2
68,data/2020-08-19_avm_phase_sims/p03.60_J-0.12_v01.00e-01,3.6,-0.12,0.1,200,0.05,0.4,2
69,data/2020-08-19_avm_phase_sims/p03.60_J-0.16_v01.00e-01,3.6,-0.16,0.1,200,0.05,0.4,2
70,data/2020-08-19_avm_phase_sims/p03.70_J-0.00_v01.00e-01,3.7,-0.0,0.1,200,0.05,0.4,2
71,data/2020-08-19_avm_phase_sims/p03.70_J-0.04_v01.00e-01,3.7,-0.04,0.1,200,0.05,0.4,2
72,data/2020-08-19_avm_phase_sims/p03.70_J-0.08_v01.00e-01,3.7,-0.08,0.1,200,0.05,0.4,2
73,data/2020-08-19_avm_phase_sims/p03.70_J-0.12_v01.00e-01,3.7,-0.12,0.1,200,0.05,0.4,2
74,data/2020-08-19_avm_phase_sims/p03.70_J-0.16_v01.00e-01,3.7,-0.16,0.1,200,0.05,0.4,2
75,data/2020-08-19_avm_phase_sims/p03.80_J-0.00_v01.00e-01,3.8,-0.0,0.1,200,0.05,0.4,2
76,data/2020-08-19_avm_phase_sims/p03.80_J-0.04_v01.00e-01,3.8,-0.04,0.1,200,0.05,0.4,2
77,data/2020-08-19_avm_phase_sims/p03.80_J-0.08_v01.00e-01,3.8,-0.08,0.1,200,0.05,0.4,2
78,data/2020-08-19_avm_phase_sims/p03.80_J-0.12_v01.00e-01,3.8,-0.12,0.1,200,0.05,0.4,2
79,data/2020-08-19_avm_phase_sims/p03.80_J-0.16_v01.00e-01,3.8,-0.16,0.1,200,0.05,0.4,2
80,data/2020-08-19_avm_phase_sims/p03.90_J-0.00_v01.00e-01,3.9,-0.0,0.1,200,0.05,0.4,2
81,data/2020-08-19_avm_phase_sims/p03.90_J-0.04_v01.00e-01,3.9,-0.04,0.1,200,0.05,0.4,2
82,data/2020-08-19_avm_phase_sims/p03.90_J-0.08_v01.00e-01,3.9,-0.08,0.1,200,0.05,0.4,2
83,data/2020-08-19_avm_phase_sims/p03.90_J-0.12_v01.00e-01,3.9,-0.12,0.1,200,0.05,0.4,2
84,data/2020-08-19_avm_phase_sims/p03.90_J-0.16_v01.00e-01,3.9,-0.16,0.1,200,0.05,0.4,2
85,data/2020-08-19_avm_phase_sims/p04.00_J-0.00_v01.00e-01,4.0,-0.0,0.1,200,0.05,0.4,2
86,data/2020-08-19_avm_phase_sims/p04.00_J-0.04_v01.00e-01,4.0,-0.04,0.1,200,0.05,0.4,2
87,data/2020-08-19_avm_phase_sims/p04.00_J-0.08_v01.00e-01,4.0,-0.08,0.1,200,0.05,0.4,2
88,data/2020-08-19_avm_phase_sims/p04.00_J-0.12_v01.00e-01,4.0,-0.12,0.1,200,0.05,0.4,2
89,data/2020-08-19_avm_phase_sims/p04.00_J-0.16_v01.00e-01,4.0,-0.16,0.1,200,0.05,0.4,2
90,data/2020-08-19_avm_phase_sims/p03.20_J-0.00_v03.16e-01,3.2,-0.0,0.31622776601683794,200,0.05,0.4,2
91,data/2020-08-19_avm_phase_sims/p03.20_J-0.04_v03.16e-01,3.2,-0.04,0.31622776601683794,200,0.05,0.4,2
92,data/2020-08-19_avm_phase_sims/p03.20_J-0.08_v03.16e-01,3.2,-0.08,0.31622776601683794,200,0.05,0.4,2
93,data/2020-08-19_avm_phase_sims/p03.20_J-0.12_v03.16e-01,3.2,-0.12,0.31622776601683794,200,0.05,0.4,2
94,data/2020-08-19_avm_phase_sims/p03.20_J-0.16_v03.16e-01,3.2,-0.16,0.31622776601683794,200,0.05,0.4,2
95,data/2020-08-19_avm_phase_sims/p03.30_J-0.00_v03.16e-01,3.3000000000000003,-0.0,0.31622776601683794,200,0.05,0.4,2
96,data/2020-08-19_avm_phase_sims/p03.30_J-0.04_v03.16e-01,3.3000000000000003,-0.04,0.31622776601683794,200,0.05,0.4,2
97,data/2020-08-19_avm_phase_sims/p03.30_J-0.08_v03.16e-01,3.3000000000000003,-0.08,0.31622776601683794,200,0.05,0.4,2
98,data/2020-08-19_avm_phase_sims/p03.30_J-0.12_v03.16e-01,3.3000000000000003,-0.12,0.31622776601683794,200,0.05,0.4,2
99,data/2020-08-19_avm_phase_sims/p03.30_J-0.16_v03.16e-01,3.3000000000000003,-0.16,0.31622776601683794,200,0.05,0.4,2
100,data/2020-08-19_avm_phase_sims/p03.40_J-0.00_v03.16e-01,3.4000000000000004,-0.0,0.31622776601683794,200,0.05,0.4,2
101,data/2020-08-19_avm_phase_sims/p03.40_J-0.04_v03.16e-01,3.4000000000000004,-0.04,0.31622776601683794,200,0.05,0.4,2
102,data/2020-08-19_avm_phase_sims/p03.40_J-0.08_v03.16e-01,3.4000000000000004,-0.08,0.31622776601683794,200,0.05,0.4,2
103,data/2020-08-19_avm_phase_sims/p03.40_J-0.12_v03.16e-01,3.4000000000000004,-0.12,0.31622776601683794,200,0.05,0.4,2
104,data/2020-08-19_avm_phase_sims/p03.40_J-0.16_v03.16e-01,3.4000000000000004,-0.16,0.31622776601683794,200,0.05,0.4,2
105,data/2020-08-19_avm_phase_sims/p03.50_J-0.00_v03.16e-01,3.5,-0.0,0.31622776601683794,200,0.05,0.4,2
106,data/2020-08-19_avm_phase_sims/p03.50_J-0.04_v03.16e-01,3.5,-0.04,0.31622776601683794,200,0.05,0.4,2
107,data/2020-08-19_avm_phase_sims/p03.50_J-0.08_v03.16e-01,3.5,-0.08,0.31622776601683794,200,0.05,0.4,2
108,data/2020-08-19_avm_phase_sims/p03.50_J-0.12_v03.16e-01,3.5,-0.12,0.31622776601683794,200,0.05,0.4,2
109,data/2020-08-19_avm_phase_sims/p03.50_J-0.16_v03.16e-01,3.5,-0.16,0.31622776601683794,200,0.05,0.4,2
110,data/2020-08-19_avm_phase_sims/p03.60_J-0.00_v03.16e-01,3.6,-0.0,0.31622776601683794,200,0.05,0.4,2
111,data/2020-08-19_avm_phase_sims/p03.60_J-0.04_v03.16e-01,3.6,-0.04,0.31622776601683794,200,0.05,0.4,2
112,data/2020-08-19_avm_phase_sims/p03.60_J-0.08_v03.16e-01,3.6,-0.08,0.31622776601683794,200,0.05,0.4,2
113,data/2020-08-19_avm_phase_sims/p03.60_J-0.12_v03.16e-01,3.6,-0.12,0.31622776601683794,200,0.05,0.4,2
114,data/2020-08-19_avm_phase_sims/p03.60_J-0.16_v03.16e-01,3.6,-0.16,0.31622776601683794,200,0.05,0.4,2
115,data/2020-08-19_avm_phase_sims/p03.70_J-0.00_v03.16e-01,3.7,-0.0,0.31622776601683794,200,0.05,0.4,2
116,data/2020-08-19_avm_phase_sims/p03.70_J-0.04_v03.16e-01,3.7,-0.04,0.31622776601683794,200,0.05,0.4,2
117,data/2020-08-19_avm_phase_sims/p03.70_J-0.08_v03.16e-01,3.7,-0.08,0.31622776601683794,200,0.05,0.4,2
118,data/2020-08-19_avm_phase_sims/p03.70_J-0.12_v03.16e-01,3.7,-0.12,0.31622776601683794,200,0.05,0.4,2
119,data/2020-08-19_avm_phase_sims/p03.70_J-0.16_v03.16e-01,3.7,-0.16,0.31622776601683794,200,0.05,0.4,2
120,data/2020-08-19_avm_phase_sims/p03.80_J-0.00_v03.16e-01,3.8,-0.0,0.31622776601683794,200,0.05,0.4,2
121,data/2020-08-19_avm_phase_sims/p03.80_J-0.04_v03.16e-01,3.8,-0.04,0.31622776601683794,200,0.05,0.4,2
122,data/2020-08-19_avm_phase_sims/p03.80_J-0.08_v03.16e-01,3.8,-0.08,0.31622776601683794,200,0.05,0.4,2
123,data/2020-08-19_avm_phase_sims/p03.80_J-0.12_v03.16e-01,3.8,-0.12,0.31622776601683794,200,0.05,0.4,2
124,data/2020-08-19_avm_phase_sims/p03.80_J-0.16_v03.16e-01,3.8,-0.16,0.31622776601683794,200,0.05,0.4,2
125,data/2020-08-19_avm_phase_sims/p03.90_J-0.00_v03.16e-01,3.9,-0.0,0.31622776601683794,200,0.05,0.4,2
126,data/2020-08-19_avm_phase_sims/p03.90_J-0.04_v03.16e-01,3.9,-0.04,0.31622776601683794,200,0.05,0.4,2
127,data/2020-08-19_avm_phase_sims/p03.90_J-0.08_v03.16e-01,3.9,-0.08,0.31622776601683794,200,0.05,0.4,2
128,data/2020-08-19_avm_phase_sims/p03.90_J-0.12_v03.16e-01,3.9,-0.12,0.31622776601683794,200,0.05,0.4,2
129,data/2020-08-19_avm_phase_sims/p03.90_J-0.16_v03.16e-01,3.9,-0.16,0.31622776601683794,200,0.05,0.4,2
130,data/2020-08-19_avm_phase_sims/p04.00_J-0.00_v03.16e-01,4.0,-0.0,0.31622776601683794,200,0.05,0.4,2
131,data/2020-08-19_avm_phase_sims/p04.00_J-0.04_v03.16e-01,4.0,-0.04,0.31622776601683794,200,0.05,0.4,2
132,data/2020-08-19_avm_phase_sims/p04.00_J-0.08_v03.16e-01,4.0,-0.08,0.31622776601683794,200,0.05,0.4,2
133,data/2020-08-19_avm_phase_sims/p04.00_J-0.12_v03.16e-01,4.0,-0.12,0.31622776601683794,200,0.05,0.4,2
134,data/2020-08-19_avm_phase_sims/p04.00_J-0.16_v03.16e-01,4.0,-0.16,0.31622776601683794,200,0.05,0.4,2
135,data/2020-08-19_avm_phase_sims/p03.20_J-0.00_v01.00e+00,3.2,-0.0,1.0,200,0.05,0.4,2
136,data/2020-08-19_avm_phase_sims/p03.20_J-0.04_v01.00e+00,3.2,-0.04,1.0,200,0.05,0.4,2
137,data/2020-08-19_avm_phase_sims/p03.20_J-0.08_v01.00e+00,3.2,-0.08,1.0,200,0.05,0.4,2
138,data/2020-08-19_avm_phase_sims/p03.20_J-0.12_v01.00e+00,3.2,-0.12,1.0,200,0.05,0.4,2
139,data/2020-08-19_avm_phase_sims/p03.20_J-0.16_v01.00e+00,3.2,-0.16,1.0,200,0.05,0.4,2
140,data/2020-08-19_avm_phase_sims/p03.30_J-0.00_v01.00e+00,3.3000000000000003,-0.0,1.0,200,0.05,0.4,2
141,data/2020-08-19_avm_phase_sims/p03.30_J-0.04_v01.00e+00,3.3000000000000003,-0.04,1.0,200,0.05,0.4,2
142,data/2020-08-19_avm_phase_sims/p03.30_J-0.08_v01.00e+00,3.3000000000000003,-0.08,1.0,200,0.05,0.4,2
143,data/2020-08-19_avm_phase_sims/p03.30_J-0.12_v01.00e+00,3.3000000000000003,-0.12,1.0,200,0.05,0.4,2
144,data/2020-08-19_avm_phase_sims/p03.30_J-0.16_v01.00e+00,3.3000000000000003,-0.16,1.0,200,0.05,0.4,2
145,data/2020-08-19_avm_phase_sims/p03.40_J-0.00_v01.00e+00,3.4000000000000004,-0.0,1.0,200,0.05,0.4,2
146,data/2020-08-19_avm_phase_sims/p03.40_J-0.04_v01.00e+00,3.4000000000000004,-0.04,1.0,200,0.05,0.4,2
147,data/2020-08-19_avm_phase_sims/p03.40_J-0.08_v01.00e+00,3.4000000000000004,-0.08,1.0,200,0.05,0.4,2
148,data/2020-08-19_avm_phase_sims/p03.40_J-0.12_v01.00e+00,3.4000000000000004,-0.12,1.0,200,0.05,0.4,2
149,data/2020-08-19_avm_phase_sims/p03.40_J-0.16_v01.00e+00,3.4000000000000004,-0.16,1.0,200,0.05,0.4,2
