,filename,p0,J,v0,f,dt,a,k,L,Dr
52,p03.30_J-0.08_v01.00e-01.npy,3.3000000000000003,-0.08,0.1,200,0.05,0.4,2,10,0.01
53,p03.30_J-0.12_v01.00e-01.npy,3.3000000000000003,-0.12,0.1,200,0.05,0.4,2,10,0.01
54,p03.30_J-0.16_v01.00e-01.npy,3.3000000000000003,-0.16,0.1,200,0.05,0.4,2,10,0.01
55,p03.40_J-0.00_v01.00e-01.npy,3.4000000000000004,-0.0,0.1,200,0.05,0.4,2,10,0.01
56,p03.40_J-0.04_v01.00e-01.npy,3.4000000000000004,-0.04,0.1,200,0.05,0.4,2,10,0.01
57,p03.40_J-0.08_v01.00e-01.npy,3.4000000000000004,-0.08,0.1,200,0.05,0.4,2,10,0.01
58,p03.40_J-0.12_v01.00e-01.npy,3.4000000000000004,-0.12,0.1,200,0.05,0.4,2,10,0.01
59,p03.40_J-0.16_v01.00e-01.npy,3.4000000000000004,-0.16,0.1,200,0.05,0.4,2,10,0.01
60,p03.50_J-0.00_v01.00e-01.npy,3.5,-0.0,0.1,200,0.05,0.4,2,10,0.01
61,p03.50_J-0.04_v01.00e-01.npy,3.5,-0.04,0.1,200,0.05,0.4,2,10,0.01
62,p03.50_J-0.08_v01.00e-01.npy,3.5,-0.08,0.1,200,0.05,0.4,2,10,0.01
63,p03.50_J-0.12_v01.00e-01.npy,3.5,-0.12,0.1,200,0.05,0.4,2,10,0.01
64,p03.50_J-0.16_v01.00e-01.npy,3.5,-0.16,0.1,200,0.05,0.4,2,10,0.01
65,p03.60_J-0.00_v01.00e-01.npy,3.6,-0.0,0.1,200,0.05,0.4,2,10,0.01
66,p03.60_J-0.04_v01.00e-01.npy,3.6,-0.04,0.1,200,0.05,0.4,2,10,0.01
67,p03.60_J-0.08_v01.00e-01.npy,3.6,-0.08,0.1,200,0.05,0.4,2,10,0.01
68,p03.60_J-0.12_v01.00e-01.npy,3.6,-0.12,0.1,200,0.05,0.4,2,10,0.01
69,p03.60_J-0.16_v01.00e-01.npy,3.6,-0.16,0.1,200,0.05,0.4,2,10,0.01
70,p03.70_J-0.00_v01.00e-01.npy,3.7,-0.0,0.1,200,0.05,0.4,2,10,0.01
