,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
737,cell_000,0,67,2.68,0.9999999999999999,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
738,cell_003,1,67,2.68,0.46590275193012587,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
739,cell_015,2,67,2.68,0.44867735043535717,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
740,cell_035,3,67,2.68,0.42288883017231044,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
741,cell_057,4,67,2.68,0.3841697539772583,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
742,cell_086,5,67,2.68,0.32602153281797275,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
743,cell_126,6,67,2.68,0.23869370932106698,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
744,cell_181,7,67,2.68,0.10761324444099804,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
745,cell_240,8,67,2.68,0.00016254042841300516,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
746,cell_296,9,67,2.68,7.129917874242708e-05,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
747,cell_351,10,67,2.68,1.1613653575954847e-05,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
748,cell_000,0,68,2.72,0.9999999999999999,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
749,cell_003,1,68,2.72,0.46724238414781144,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
750,cell_015,2,68,2.72,0.4506937231399252,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
751,cell_035,3,68,2.72,0.42591836957841095,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
752,cell_057,4,68,2.72,0.3887204665535293,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
753,cell_086,5,68,2.72,0.3328567221764225,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
754,cell_126,6,68,2.72,0.24895954963385458,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
755,cell_181,7,68,2.72,0.12302403995794811,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
756,cell_240,8,68,2.72,0.00021746389453008863,0.5,0.00031622776601683794,2.0,0.0,1e-06,0.4,3
