,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
0,cell_000,0,0,0.0,1.0000000000000002,0.5,1e-05,2.0,0.0,1e-06,0.4,0
1,cell_003,1,0,0.0,2.0171809305792413e-20,0.5,1e-05,2.0,0.0,1e-06,0.4,0
2,cell_015,2,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
3,cell_035,3,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
4,cell_057,4,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
5,cell_086,5,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
6,cell_126,6,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
7,cell_181,7,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
8,cell_240,8,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
9,cell_296,9,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
10,cell_351,10,0,0.0,0.0,0.5,1e-05,2.0,0.0,1e-06,0.4,0
11,cell_000,0,1,0.04,0.9999999999999997,0.5,1e-05,2.0,0.0,1e-06,0.4,0
12,cell_003,1,1,0.04,0.019643852465503667,0.5,1e-05,2.0,0.0,1e-06,0.4,0
13,cell_015,2,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
14,cell_035,3,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
15,cell_057,4,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
16,cell_086,5,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
17,cell_126,6,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
18,cell_181,7,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
19,cell_240,8,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
20,cell_296,9,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
21,cell_351,10,1,0.04,3.928762649718979e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
22,cell_000,0,2,0.08,1.0000000000000002,0.5,1e-05,2.0,0.0,1e-06,0.4,0
23,cell_003,1,2,0.08,0.03851594459237674,0.5,1e-05,2.0,0.0,1e-06,0.4,0
24,cell_015,2,2,0.08,7.703173539859693e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
25,cell_035,3,2,0.08,7.703173539859693e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
26,cell_057,4,2,0.08,7.703173539859693e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
27,cell_086,5,2,0.08,7.703173539859693e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
28,cell_126,6,2,0.08,7.703173539859693e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
29,cell_181,7,2,0.08,7.703173539859693e-08,0.5,1e-05,2.0,0.0,1e-06,0.4,0
