step,time,unique_ID,X_coord,Y_coord
0,0.0,000:00:---------------,4.941933910095421,4.930366416362611
0,0.0,001:00:---------------,1.6631135092954128,4.953339902759481
0,0.0,002:00:---------------,3.2927611518622038,4.997492433282574
0,0.0,003:00:---------------,0.8707477978351901,0.42631043430002197
0,0.0,004:00:---------------,2.523315768398559,0.42962014220326267
0,0.0,005:00:---------------,4.1970661777593845,0.4437537006329074
0,0.0,006:00:---------------,0.15099727608637198,1.0026984658679996
0,0.0,007:00:---------------,1.7801289295769662,0.9668918672123974
0,0.0,008:00:---------------,3.4848120022944453,1.1020872249370897
0,0.0,009:00:---------------,0.9854212836328863,1.5082499116832844
0,0.0,010:00:---------------,2.5901855564956926,1.4583561219538288
0,0.0,011:00:---------------,4.350192158806611,1.4569260097613548
0,0.0,012:00:---------------,4.940314532218377,1.9574704432711598
0,0.0,013:00:---------------,1.552802444118761,1.8851416703693933
0,0.0,014:00:---------------,3.220663634485126,1.8870529874748536
0,0.0,015:00:---------------,0.88904457656771,2.512174646670878
0,0.0,016:00:---------------,2.5801592266560816,2.5082806464966048
0,0.0,017:00:---------------,4.245887922654876,2.474167803796506
0,0.0,018:00:---------------,0.04065671052910018,3.0040984688929906
0,0.0,019:00:---------------,1.7717618971684872,3.044430603241043
0,0.0,020:00:---------------,3.3452445607772354,3.0214013761886673
0,0.0,021:00:---------------,0.915484189048581,3.468135940872582
0,0.0,022:00:---------------,2.5031488948444873,3.4141459761128417
0,0.0,023:00:---------------,4.063823076258263,3.3303133491342276
0,0.0,024:00:---------------,0.010594766493391548,3.8701656371510453
0,0.0,025:00:---------------,1.7004219036312993,4.002838189079878
0,0.0,026:00:---------------,3.4516141159882263,4.06122780426399
0,0.0,027:00:---------------,0.932921861359468,4.505983201079577
0,0.0,028:00:---------------,2.738268687636626,4.524653613440039
0,0.0,029:00:---------------,4.386679702315009,4.521081434992757
1,0.02,000:00:---------------,4.9415479669590505,4.93026132056486
1,0.02,001:00:---------------,1.662922703948925,4.953254413664805
1,0.02,002:00:---------------,3.2925085441508917,4.99751582041024
1,0.02,003:00:---------------,0.870669326870993,0.42625314193263947
1,0.02,004:00:---------------,2.5233413156180133,0.42971645514325507
