,D_eff_n_c,data_fname,D_eff,p0,v0,replicate,f,t0,tmax,dt,n_t,a,k,J,L
40,19,p03.54_v02.60e-02_rep0.npy,0.023377763889950418,3.54,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
41,37,p03.54_v02.60e-02_rep0.npy,0.020240912952366682,3.54,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
42,7,p03.54_v03.00e-02_rep0.npy,0.025466317931811016,3.54,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
43,19,p03.54_v03.00e-02_rep0.npy,0.03171848919656542,3.54,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
44,37,p03.54_v03.00e-02_rep0.npy,0.03288000490930345,3.54,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
45,7,p03.54_v02.20e-02_rep0.npy,0.013952693047602315,3.54,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
46,19,p03.54_v02.20e-02_rep0.npy,0.017010566801571654,3.54,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
47,37,p03.54_v02.20e-02_rep0.npy,0.014815932093573013,3.54,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
48,7,p03.58_v02.00e-03_rep0.npy,0.015199460904113947,3.58,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
49,19,p03.58_v02.00e-03_rep0.npy,0.01748876238707453,3.58,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
50,37,p03.58_v02.00e-03_rep0.npy,0.0141030628583394,3.58,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
51,7,p03.58_v01.00e-02_rep0.npy,0.010969582013785844,3.58,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
52,19,p03.58_v01.00e-02_rep0.npy,0.012034337036311632,3.58,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
53,37,p03.58_v01.00e-02_rep0.npy,0.0092907939106226,3.58,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
54,7,p03.58_v06.00e-03_rep0.npy,0.013351501224355569,3.58,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
55,19,p03.58_v06.00e-03_rep0.npy,0.015244065111296046,3.58,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
56,37,p03.58_v06.00e-03_rep0.npy,0.011634892628838621,3.58,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
57,7,p03.58_v01.40e-02_rep0.npy,0.009796625877521479,3.58,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
58,19,p03.58_v01.40e-02_rep0.npy,0.010304578713008338,3.58,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
59,37,p03.58_v01.40e-02_rep0.npy,0.008007606529459664,3.58,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
60,7,p03.58_v02.20e-02_rep0.npy,0.018279463791650196,3.58,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
61,19,p03.58_v02.20e-02_rep0.npy,0.01172144042928357,3.58,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
62,37,p03.58_v02.20e-02_rep0.npy,0.009209688845252204,3.58,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
63,7,p03.58_v03.00e-02_rep0.npy,0.02482332123650445,3.58,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
64,19,p03.58_v03.00e-02_rep0.npy,0.01942726969718933,3.58,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
65,37,p03.58_v03.00e-02_rep0.npy,0.01955744293000963,3.58,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
66,7,p03.58_v01.80e-02_rep0.npy,0.013139580640895874,3.58,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
67,19,p03.58_v01.80e-02_rep0.npy,0.0109277240196128,3.58,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
68,37,p03.58_v01.80e-02_rep0.npy,0.009215984746445848,3.58,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
69,7,p03.58_v02.60e-02_rep0.npy,0.031523263225188634,3.58,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
70,19,p03.58_v02.60e-02_rep0.npy,0.02242036869187328,3.58,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
71,37,p03.58_v02.60e-02_rep0.npy,0.01761840667421297,3.58,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
72,7,p03.62_v02.00e-03_rep0.npy,0.011939559044549242,3.62,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
73,19,p03.62_v02.00e-03_rep0.npy,0.011952318163821477,3.62,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
74,37,p03.62_v02.00e-03_rep0.npy,0.019614666234701872,3.62,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
