,D_eff_n_c,data_fname,D_eff,p0,v0,replicate,f,t0,tmax,dt,n_t,a,k,J,L
201,7,p03.82_v06.00e-03_rep0.npy,0.18956630180279416,3.82,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
202,19,p03.82_v06.00e-03_rep0.npy,0.19395655641953152,3.82,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
203,37,p03.82_v06.00e-03_rep0.npy,0.21314811375406054,3.82,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
204,7,p03.82_v01.80e-02_rep0.npy,0.13678245890287713,3.82,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
205,19,p03.82_v01.80e-02_rep0.npy,0.0992050969306334,3.82,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
206,37,p03.82_v01.80e-02_rep0.npy,0.1314534909195371,3.82,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
207,7,p03.82_v02.20e-02_rep0.npy,0.07427173458840237,3.82,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
208,19,p03.82_v02.20e-02_rep0.npy,0.0927399751568629,3.82,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
209,37,p03.82_v02.20e-02_rep0.npy,0.09852459977480993,3.82,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
210,7,p03.82_v02.60e-02_rep0.npy,0.14110953497463438,3.82,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
211,19,p03.82_v02.60e-02_rep0.npy,0.10143965482711798,3.82,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
212,37,p03.82_v02.60e-02_rep0.npy,0.0904350150266343,3.82,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
213,7,p03.82_v03.00e-02_rep0.npy,0.1148447725507948,3.82,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
214,19,p03.82_v03.00e-02_rep0.npy,0.09735164377424453,3.82,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
215,37,p03.82_v03.00e-02_rep0.npy,0.09341218736436632,3.82,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
216,7,p03.86_v02.00e-03_rep0.npy,0.4531799815595151,3.86,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
217,19,p03.86_v02.00e-03_rep0.npy,0.509096123278141,3.86,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
218,37,p03.86_v02.00e-03_rep0.npy,0.5242918618023397,3.86,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
219,7,p03.86_v02.20e-02_rep0.npy,0.12729669159108944,3.86,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
220,19,p03.86_v02.20e-02_rep0.npy,0.1020272839660487,3.86,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
221,37,p03.86_v02.20e-02_rep0.npy,0.10728792957037936,3.86,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
222,7,p03.86_v01.00e-02_rep0.npy,0.11921878159046174,3.86,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
223,19,p03.86_v01.00e-02_rep0.npy,0.13171486556530004,3.86,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
224,37,p03.86_v01.00e-02_rep0.npy,0.14770822227001196,3.86,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
225,7,p03.86_v06.00e-03_rep0.npy,0.20354112817181486,3.86,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
226,19,p03.86_v06.00e-03_rep0.npy,0.2572279216514693,3.86,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
227,37,p03.86_v06.00e-03_rep0.npy,0.3041856197847261,3.86,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
228,7,p03.86_v01.40e-02_rep0.npy,0.09151008360239928,3.86,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
229,19,p03.86_v01.40e-02_rep0.npy,0.11904273106127375,3.86,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
230,37,p03.86_v01.40e-02_rep0.npy,0.14616737560350074,3.86,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
231,7,p03.86_v01.80e-02_rep0.npy,0.16360807198065305,3.86,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
232,19,p03.86_v01.80e-02_rep0.npy,0.12960391648021752,3.86,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
233,37,p03.86_v01.80e-02_rep0.npy,0.12638468617274445,3.86,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
234,7,p03.86_v02.60e-02_rep0.npy,0.07310580219742817,3.86,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
235,19,p03.86_v02.60e-02_rep0.npy,0.09841521287105498,3.86,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
236,37,p03.86_v02.60e-02_rep0.npy,0.09718480900194523,3.86,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
237,7,p03.86_v03.00e-02_rep0.npy,0.05762157837549845,3.86,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
238,19,p03.86_v03.00e-02_rep0.npy,0.0751474764611986,3.86,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
239,37,p03.86_v03.00e-02_rep0.npy,0.08365933100382487,3.86,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
240,7,p03.90_v02.00e-03_rep0.npy,0.8806570433080197,3.9,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
241,19,p03.90_v02.00e-03_rep0.npy,0.7853191345930101,3.9,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
242,37,p03.90_v02.00e-03_rep0.npy,1.066237036138773,3.9,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
243,7,p03.90_v06.00e-03_rep0.npy,0.8474345008532208,3.9,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
244,19,p03.90_v06.00e-03_rep0.npy,0.5817185259527631,3.9,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
245,37,p03.90_v06.00e-03_rep0.npy,0.4172197646564908,3.9,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
246,7,p03.90_v01.00e-02_rep0.npy,0.2724331319332124,3.9,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
247,19,p03.90_v01.00e-02_rep0.npy,0.2790100872516633,3.9,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
248,37,p03.90_v01.00e-02_rep0.npy,0.23796992003917705,3.9,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
249,7,p03.90_v02.20e-02_rep0.npy,0.13243921778418802,3.9,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
250,19,p03.90_v02.20e-02_rep0.npy,0.11073661244605199,3.9,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
251,37,p03.90_v02.20e-02_rep0.npy,0.10744615280923768,3.9,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
252,7,p03.90_v01.80e-02_rep0.npy,0.09503349845792046,3.9,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
253,19,p03.90_v01.80e-02_rep0.npy,0.10211100732838672,3.9,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
254,37,p03.90_v01.80e-02_rep0.npy,0.15508033979086236,3.9,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
255,7,p03.90_v01.40e-02_rep0.npy,0.21699023794154745,3.9,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
256,19,p03.90_v01.40e-02_rep0.npy,0.1907974633635308,3.9,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
257,37,p03.90_v01.40e-02_rep0.npy,0.2111240461164592,3.9,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
258,7,p03.90_v02.60e-02_rep0.npy,0.0848537630583408,3.9,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
259,19,p03.90_v02.60e-02_rep0.npy,0.07100516610597016,3.9,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
260,37,p03.90_v02.60e-02_rep0.npy,0.06885520188060741,3.9,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
261,7,p03.90_v03.00e-02_rep0.npy,0.06298807594511244,3.9,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
262,19,p03.90_v03.00e-02_rep0.npy,0.0936109291182624,3.9,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
263,37,p03.90_v03.00e-02_rep0.npy,0.07963009013070001,3.9,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
264,7,p03.50_v02.00e-03_rep1.npy,0.012372968194540592,3.5,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
265,19,p03.50_v02.00e-03_rep1.npy,0.008409291331190616,3.5,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
266,37,p03.50_v02.00e-03_rep1.npy,0.006868335185572505,3.5,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
267,7,p03.50_v06.00e-03_rep1.npy,0.01140252117895418,3.5,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
268,19,p03.50_v06.00e-03_rep1.npy,0.007729540811851621,3.5,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
269,37,p03.50_v06.00e-03_rep1.npy,0.006266964677100382,3.5,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
270,7,p03.50_v01.00e-02_rep1.npy,0.00972187984734774,3.5,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
271,19,p03.50_v01.00e-02_rep1.npy,0.006766675505787137,3.5,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
272,37,p03.50_v01.00e-02_rep1.npy,0.005411495454609396,3.5,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
273,7,p03.50_v01.80e-02_rep1.npy,0.007456955557436124,3.5,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
274,19,p03.50_v01.80e-02_rep1.npy,0.005485257708731996,3.5,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
275,37,p03.50_v01.80e-02_rep1.npy,0.004017436416980664,3.5,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
276,7,p03.50_v02.20e-02_rep1.npy,0.006063124703720582,3.5,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
277,19,p03.50_v02.20e-02_rep1.npy,0.004663496193560688,3.5,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
278,37,p03.50_v02.20e-02_rep1.npy,0.003523096703916542,3.5,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
279,7,p03.50_v01.40e-02_rep1.npy,0.008525667065868575,3.5,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
280,19,p03.50_v01.40e-02_rep1.npy,0.006182754545339519,3.5,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
281,37,p03.50_v01.40e-02_rep1.npy,0.004661158297439013,3.5,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
282,7,p03.50_v02.60e-02_rep1.npy,0.020242579413588948,3.5,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
283,19,p03.50_v02.60e-02_rep1.npy,0.014226301710986534,3.5,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
284,37,p03.50_v02.60e-02_rep1.npy,0.01139520562788439,3.5,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
285,7,p03.50_v03.00e-02_rep1.npy,0.01684941185845269,3.5,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
286,19,p03.50_v03.00e-02_rep1.npy,0.01284599552551905,3.5,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
287,37,p03.50_v03.00e-02_rep1.npy,0.014274444844987657,3.5,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
288,7,p03.54_v02.00e-03_rep1.npy,0.009315057832282037,3.54,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
289,19,p03.54_v02.00e-03_rep1.npy,0.008227332000387833,3.54,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
290,37,p03.54_v02.00e-03_rep1.npy,0.00885279514477588,3.54,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
291,7,p03.54_v06.00e-03_rep1.npy,0.00868584223402043,3.54,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
292,19,p03.54_v06.00e-03_rep1.npy,0.007734353938657378,3.54,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
293,37,p03.54_v06.00e-03_rep1.npy,0.008426743119748104,3.54,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
294,7,p03.54_v01.00e-02_rep1.npy,0.008486919105052951,3.54,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
295,19,p03.54_v01.00e-02_rep1.npy,0.007590059190988544,3.54,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
296,37,p03.54_v01.00e-02_rep1.npy,0.008327574469149114,3.54,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
297,7,p03.54_v01.40e-02_rep1.npy,0.00873595590190012,3.54,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
298,19,p03.54_v01.40e-02_rep1.npy,0.007796392547993031,3.54,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
299,37,p03.54_v01.40e-02_rep1.npy,0.008043617352235077,3.54,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
300,7,p03.54_v02.20e-02_rep1.npy,0.00647574755524801,3.54,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
301,19,p03.54_v02.20e-02_rep1.npy,0.011534403917218043,3.54,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
302,37,p03.54_v02.20e-02_rep1.npy,0.011092126523413936,3.54,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
303,7,p03.54_v01.80e-02_rep1.npy,0.009040302815444679,3.54,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
304,19,p03.54_v01.80e-02_rep1.npy,0.007958567620795453,3.54,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
305,37,p03.54_v01.80e-02_rep1.npy,0.008319356237296708,3.54,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
306,7,p03.54_v02.60e-02_rep1.npy,0.01811475311157972,3.54,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
307,19,p03.54_v02.60e-02_rep1.npy,0.016065343068196233,3.54,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
308,37,p03.54_v02.60e-02_rep1.npy,0.016312165593607198,3.54,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
309,7,p03.54_v03.00e-02_rep1.npy,0.039131846692827016,3.54,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
310,19,p03.54_v03.00e-02_rep1.npy,0.035873757468329534,3.54,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
311,37,p03.54_v03.00e-02_rep1.npy,0.030226151148478188,3.54,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
312,7,p03.58_v02.00e-03_rep1.npy,0.0037135941965971146,3.58,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
313,19,p03.58_v02.00e-03_rep1.npy,0.010188671149080621,3.58,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
314,37,p03.58_v02.00e-03_rep1.npy,0.014522715355269613,3.58,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
315,7,p03.58_v06.00e-03_rep1.npy,0.0031684515609716377,3.58,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
316,19,p03.58_v06.00e-03_rep1.npy,0.008654701782183517,3.58,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
317,37,p03.58_v06.00e-03_rep1.npy,0.012839487236407071,3.58,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
318,7,p03.58_v01.00e-02_rep1.npy,0.0024739422369748363,3.58,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
319,19,p03.58_v01.00e-02_rep1.npy,0.007024267222732307,3.58,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
320,37,p03.58_v01.00e-02_rep1.npy,0.010983228683471685,3.58,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
321,7,p03.58_v01.40e-02_rep1.npy,0.002323076300018905,3.58,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
322,19,p03.58_v01.40e-02_rep1.npy,0.006393801268874385,3.58,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
323,37,p03.58_v01.40e-02_rep1.npy,0.010035144241184608,3.58,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
324,7,p03.58_v01.80e-02_rep1.npy,0.002512979942063492,3.58,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
325,19,p03.58_v01.80e-02_rep1.npy,0.006260411284955934,3.58,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
326,37,p03.58_v01.80e-02_rep1.npy,0.00968851999920092,3.58,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
327,7,p03.58_v02.20e-02_rep1.npy,0.008755645999484812,3.58,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
328,19,p03.58_v02.20e-02_rep1.npy,0.011832611866233763,3.58,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
329,37,p03.58_v02.20e-02_rep1.npy,0.01600579751178253,3.58,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
330,7,p03.58_v02.60e-02_rep1.npy,0.0110982801522729,3.58,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
331,19,p03.58_v02.60e-02_rep1.npy,0.022042172371283097,3.58,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
332,37,p03.58_v02.60e-02_rep1.npy,0.025359840964424552,3.58,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
333,7,p03.58_v03.00e-02_rep1.npy,0.02086675332652198,3.58,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
334,19,p03.58_v03.00e-02_rep1.npy,0.019723713397979736,3.58,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
335,37,p03.58_v03.00e-02_rep1.npy,0.0261210302511851,3.58,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
336,7,p03.62_v02.00e-03_rep1.npy,0.033666632953099906,3.62,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
337,19,p03.62_v02.00e-03_rep1.npy,0.03539757744874805,3.62,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
338,37,p03.62_v02.00e-03_rep1.npy,0.02884371788240969,3.62,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
339,7,p03.62_v06.00e-03_rep1.npy,0.01618103382902013,3.62,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
340,19,p03.62_v06.00e-03_rep1.npy,0.01819799136784342,3.62,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
341,37,p03.62_v06.00e-03_rep1.npy,0.015285820700228216,3.62,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
342,7,p03.62_v01.00e-02_rep1.npy,0.009374992921948436,3.62,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
343,19,p03.62_v01.00e-02_rep1.npy,0.010792944580316549,3.62,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
344,37,p03.62_v01.00e-02_rep1.npy,0.009566682390868669,3.62,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
345,7,p03.62_v01.40e-02_rep1.npy,0.013326443921850657,3.62,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
346,19,p03.62_v01.40e-02_rep1.npy,0.013196167098928476,3.62,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
347,37,p03.62_v01.40e-02_rep1.npy,0.012132333477540896,3.62,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
348,7,p03.62_v02.20e-02_rep1.npy,0.030687531410170006,3.62,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
349,19,p03.62_v02.20e-02_rep1.npy,0.05375602521187019,3.62,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
350,37,p03.62_v02.20e-02_rep1.npy,0.049408854654997836,3.62,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
351,7,p03.62_v02.60e-02_rep1.npy,0.017304662284413748,3.62,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
352,19,p03.62_v02.60e-02_rep1.npy,0.03642727725604584,3.62,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
353,37,p03.62_v02.60e-02_rep1.npy,0.040166639893718034,3.62,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
354,7,p03.62_v01.80e-02_rep1.npy,0.021930238990872004,3.62,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
355,19,p03.62_v01.80e-02_rep1.npy,0.026336378981301825,3.62,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
356,37,p03.62_v01.80e-02_rep1.npy,0.027210614931436245,3.62,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
357,7,p03.62_v03.00e-02_rep1.npy,0.03133933742841085,3.62,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
358,19,p03.62_v03.00e-02_rep1.npy,0.05365040567186143,3.62,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
359,37,p03.62_v03.00e-02_rep1.npy,0.05297141273816427,3.62,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
360,7,p03.66_v02.00e-03_rep1.npy,0.03385379968676717,3.66,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
361,19,p03.66_v02.00e-03_rep1.npy,0.049772969214245684,3.66,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
362,37,p03.66_v02.00e-03_rep1.npy,0.055466842604801066,3.66,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
363,7,p03.66_v06.00e-03_rep1.npy,0.01944206887856126,3.66,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
364,19,p03.66_v06.00e-03_rep1.npy,0.02913029812690285,3.66,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
365,37,p03.66_v06.00e-03_rep1.npy,0.03146809887968832,3.66,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
366,7,p03.66_v01.00e-02_rep1.npy,0.0163295976817608,3.66,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
367,19,p03.66_v01.00e-02_rep1.npy,0.02310809865593911,3.66,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
368,37,p03.66_v01.00e-02_rep1.npy,0.02440073341131211,3.66,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
369,7,p03.66_v01.40e-02_rep1.npy,0.023910161868041884,3.66,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
370,19,p03.66_v01.40e-02_rep1.npy,0.030583549975132462,3.66,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
371,37,p03.66_v01.40e-02_rep1.npy,0.035162418320470935,3.66,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
372,7,p03.66_v02.20e-02_rep1.npy,0.08460359016725841,3.66,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
373,19,p03.66_v02.20e-02_rep1.npy,0.08654648607427426,3.66,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
374,37,p03.66_v02.20e-02_rep1.npy,0.07318220724744245,3.66,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
375,7,p03.66_v02.60e-02_rep1.npy,0.0634703145930048,3.66,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
376,19,p03.66_v02.60e-02_rep1.npy,0.07649265097443173,3.66,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
377,37,p03.66_v02.60e-02_rep1.npy,0.06699393663180654,3.66,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
378,7,p03.66_v01.80e-02_rep1.npy,0.01515338289332979,3.66,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
379,19,p03.66_v01.80e-02_rep1.npy,0.037433365704836685,3.66,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
380,37,p03.66_v01.80e-02_rep1.npy,0.05227490615697557,3.66,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
381,7,p03.66_v03.00e-02_rep1.npy,0.07094487879011366,3.66,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
382,19,p03.66_v03.00e-02_rep1.npy,0.05772176716062756,3.66,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
383,37,p03.66_v03.00e-02_rep1.npy,0.07102476888232763,3.66,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
384,7,p03.70_v02.00e-03_rep1.npy,0.058375642402097576,3.7,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
385,19,p03.70_v02.00e-03_rep1.npy,0.06318142404779792,3.7,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
386,37,p03.70_v02.00e-03_rep1.npy,0.07731343503110112,3.7,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10
387,7,p03.70_v06.00e-03_rep1.npy,0.013810124558707079,3.7,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
388,19,p03.70_v06.00e-03_rep1.npy,0.021189085156139403,3.7,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
389,37,p03.70_v06.00e-03_rep1.npy,0.028331432905462063,3.7,0.006,1,200,0,4,0.025,32001,0.4,2,0.0,10
390,7,p03.70_v01.00e-02_rep1.npy,0.04967761039733889,3.7,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
391,19,p03.70_v01.00e-02_rep1.npy,0.0547015927731991,3.7,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
392,37,p03.70_v01.00e-02_rep1.npy,0.06429569423198703,3.7,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10
393,7,p03.70_v01.40e-02_rep1.npy,0.028600562743994667,3.7,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
394,19,p03.70_v01.40e-02_rep1.npy,0.02796644420952214,3.7,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
395,37,p03.70_v01.40e-02_rep1.npy,0.038753062182543235,3.7,0.014,1,200,0,4,0.025,32001,0.4,2,0.0,10
396,7,p03.70_v02.20e-02_rep1.npy,0.07861852645874025,3.7,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
397,19,p03.70_v02.20e-02_rep1.npy,0.06622457799832683,3.7,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
398,37,p03.70_v02.20e-02_rep1.npy,0.06240728226574985,3.7,0.022,1,200,0,4,0.025,32001,0.4,2,0.0,10
399,7,p03.70_v02.60e-02_rep1.npy,0.06907088075869186,3.7,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
400,19,p03.70_v02.60e-02_rep1.npy,0.07850436063913202,3.7,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
401,37,p03.70_v02.60e-02_rep1.npy,0.06865869612383423,3.7,0.026,1,200,0,4,0.025,32001,0.4,2,0.0,10
402,7,p03.70_v01.80e-02_rep1.npy,0.11907140781849995,3.7,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
403,19,p03.70_v01.80e-02_rep1.npy,0.07945434362800037,3.7,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
404,37,p03.70_v01.80e-02_rep1.npy,0.07259282340973988,3.7,0.018,1,200,0,4,0.025,32001,0.4,2,0.0,10
405,7,p03.70_v03.00e-02_rep1.npy,0.0795484052764045,3.7,0.03,1,200,0,4,0.025,32001,0.4,2,0.0,10
