,frame,avg. speed,movie,plating density,replicate,time (hr)
13,104,1.057881034312442,2500 cell A.avi,2500,A,104
14,112,1.2694105817769612,2500 cell A.avi,2500,A,112
15,120,1.351489833948078,2500 cell A.avi,2500,A,120
16,128,1.2368534320313236,2500 cell A.avi,2500,A,128
17,136,1.1311978614534177,2500 cell A.avi,2500,A,136
18,144,0.9292965469408202,2500 cell A.avi,2500,A,144
19,152,0.8576031128193373,2500 cell A.avi,2500,A,152
0,0,0.9590115360695131,40000 cells A.avi,40000,A,0
1,8,1.0420626529544315,40000 cells A.avi,40000,A,8
2,16,0.9203226818227778,40000 cells A.avi,40000,A,16
3,24,1.1363790328914973,40000 cells A.avi,40000,A,24
4,32,1.3222601282876396,40000 cells A.avi,40000,A,32
5,40,1.2634334989725513,40000 cells A.avi,40000,A,40
6,48,1.3773000181416275,40000 cells A.avi,40000,A,48
7,56,1.212273957720397,40000 cells A.avi,40000,A,56
8,64,1.1081994784400764,40000 cells A.avi,40000,A,64
9,72,0.985578387740083,40000 cells A.avi,40000,A,72
10,80,1.0145000918683376,40000 cells A.avi,40000,A,80
11,88,0.8855213224222912,40000 cells A.avi,40000,A,88
12,96,1.0957043738706345,40000 cells A.avi,40000,A,96
13,104,0.6080163833800503,40000 cells A.avi,40000,A,104
14,112,0.540001844847158,40000 cells A.avi,40000,A,112
15,120,0.4223917797528978,40000 cells A.avi,40000,A,120
16,128,0.4158299455804558,40000 cells A.avi,40000,A,128
17,136,0.601002181558001,40000 cells A.avi,40000,A,136
18,144,0.4202642848995777,40000 cells A.avi,40000,A,144
19,152,0.3210232570063558,40000 cells A.avi,40000,A,152
0,0,1.0589698432729795,5000 cells A.avi,5000,A,0
1,8,0.7210078450186618,5000 cells A.avi,5000,A,8
2,16,0.8731185733726159,5000 cells A.avi,5000,A,16
3,24,0.35063267687119865,5000 cells A.avi,5000,A,24
4,32,0.8630045054106381,5000 cells A.avi,5000,A,32
5,40,1.2247849037373812,5000 cells A.avi,5000,A,40
6,48,0.9153498590196739,5000 cells A.avi,5000,A,48
7,56,0.9716496555109745,5000 cells A.avi,5000,A,56
8,64,1.1002128693632531,5000 cells A.avi,5000,A,64
9,72,0.881079595803512,5000 cells A.avi,5000,A,72
10,80,1.0895501616803902,5000 cells A.avi,5000,A,80
11,88,1.4307700116186304,5000 cells A.avi,5000,A,88
12,96,1.4199237890049954,5000 cells A.avi,5000,A,96
13,104,1.3963565108972371,5000 cells A.avi,5000,A,104
14,112,1.5009988614960774,5000 cells A.avi,5000,A,112
15,120,1.4482043918796959,5000 cells A.avi,5000,A,120
16,128,1.4285695024388887,5000 cells A.avi,5000,A,128
17,136,1.3092174675456325,5000 cells A.avi,5000,A,136
18,144,1.0392015278559659,5000 cells A.avi,5000,A,144
19,152,1.1602008241552169,5000 cells A.avi,5000,A,152
0,0,1.0047505198538165,80000 cells A.avi,80000,A,0
1,8,0.8607924870424513,80000 cells A.avi,80000,A,8
2,16,0.8681669624335097,80000 cells A.avi,80000,A,16
3,24,0.9177472673503828,80000 cells A.avi,80000,A,24
4,32,1.087362397364242,80000 cells A.avi,80000,A,32
5,40,1.4191565210261434,80000 cells A.avi,80000,A,40
6,48,1.445278920016219,80000 cells A.avi,80000,A,48
7,56,1.1955210293406846,80000 cells A.avi,80000,A,56
8,64,1.1551826336333786,80000 cells A.avi,80000,A,64
9,72,0.8152423272685252,80000 cells A.avi,80000,A,72
10,80,0.5915880477607414,80000 cells A.avi,80000,A,80
11,88,0.41885506180378546,80000 cells A.avi,80000,A,88
12,96,0.5551415464359523,80000 cells A.avi,80000,A,96
13,104,0.5486353326273488,80000 cells A.avi,80000,A,104
14,112,0.5127397391302421,80000 cells A.avi,80000,A,112
15,120,0.4739354739555839,80000 cells A.avi,80000,A,120
16,128,0.42324321583583685,80000 cells A.avi,80000,A,128
17,136,0.28626841172793344,80000 cells A.avi,80000,A,136
18,144,0.18745623441506917,80000 cells A.avi,80000,A,144
19,152,0.25081520071739016,80000 cells A.avi,80000,A,152
