,filename,p0,J,v0,f,dt,a,k,L,Dr,D_eff
43,p04.00_J-0.12_v03.16e-02.npy,4.0,-0.12,0.031622776601683784,200,0.05,0.4,2,10,0.01,2.360252147689104e-06
44,p04.00_J-0.16_v03.16e-02.npy,4.0,-0.16,0.031622776601683784,200,0.05,0.4,2,10,0.01,2.2189620584035312e-06
45,p03.20_J-0.00_v01.00e-01.npy,3.2,-0.0,0.1,200,0.05,0.4,2,10,0.01,2.537582639569186e-11
46,p03.20_J-0.04_v01.00e-01.npy,3.2,-0.04,0.1,200,0.05,0.4,2,10,0.01,1.834487206905635e-10
47,p03.20_J-0.08_v01.00e-01.npy,3.2,-0.08,0.1,200,0.05,0.4,2,10,0.01,3.976077185922187e-08
48,p03.20_J-0.12_v01.00e-01.npy,3.2,-0.12,0.1,200,0.05,0.4,2,10,0.01,1.8260382270896428e-07
49,p03.20_J-0.16_v01.00e-01.npy,3.2,-0.16,0.1,200,0.05,0.4,2,10,0.01,2.753577689201889e-07
50,p03.30_J-0.00_v01.00e-01.npy,3.3000000000000003,-0.0,0.1,200,0.05,0.4,2,10,0.01,2.5867537621116047e-11
51,p03.30_J-0.04_v01.00e-01.npy,3.3000000000000003,-0.04,0.1,200,0.05,0.4,2,10,0.01,3.277219358279171e-11
52,p03.30_J-0.08_v01.00e-01.npy,3.3000000000000003,-0.08,0.1,200,0.05,0.4,2,10,0.01,5.007940831389116e-08
53,p03.30_J-0.12_v01.00e-01.npy,3.3000000000000003,-0.12,0.1,200,0.05,0.4,2,10,0.01,2.0608515465574687e-07
54,p03.30_J-0.16_v01.00e-01.npy,3.3000000000000003,-0.16,0.1,200,0.05,0.4,2,10,0.01,1.8702641955525207e-07
55,p03.40_J-0.00_v01.00e-01.npy,3.4000000000000004,-0.0,0.1,200,0.05,0.4,2,10,0.01,1.2553926854448563e-12
56,p03.40_J-0.04_v01.00e-01.npy,3.4000000000000004,-0.04,0.1,200,0.05,0.4,2,10,0.01,1.2527039460476974e-10
57,p03.40_J-0.08_v01.00e-01.npy,3.4000000000000004,-0.08,0.1,200,0.05,0.4,2,10,0.01,1.0696594942048909e-07
58,p03.40_J-0.12_v01.00e-01.npy,3.4000000000000004,-0.12,0.1,200,0.05,0.4,2,10,0.01,1.75168444071626e-07
59,p03.40_J-0.16_v01.00e-01.npy,3.4000000000000004,-0.16,0.1,200,0.05,0.4,2,10,0.01,2.5460767891993927e-07
60,p03.50_J-0.00_v01.00e-01.npy,3.5,-0.0,0.1,200,0.05,0.4,2,10,0.01,2.2938545657912347e-11
61,p03.50_J-0.04_v01.00e-01.npy,3.5,-0.04,0.1,200,0.05,0.4,2,10,0.01,3.3174027901769806e-09
62,p03.50_J-0.08_v01.00e-01.npy,3.5,-0.08,0.1,200,0.05,0.4,2,10,0.01,1.443951929012661e-07
63,p03.50_J-0.12_v01.00e-01.npy,3.5,-0.12,0.1,200,0.05,0.4,2,10,0.01,2.0488216969216065e-07
64,p03.50_J-0.16_v01.00e-01.npy,3.5,-0.16,0.1,200,0.05,0.4,2,10,0.01,1.9708902163398568e-07
65,p03.60_J-0.00_v01.00e-01.npy,3.6,-0.0,0.1,200,0.05,0.4,2,10,0.01,4.592661202628123e-11
66,p03.60_J-0.04_v01.00e-01.npy,3.6,-0.04,0.1,200,0.05,0.4,2,10,0.01,1.6298234689966542e-08
67,p03.60_J-0.08_v01.00e-01.npy,3.6,-0.08,0.1,200,0.05,0.4,2,10,0.01,1.352575821963245e-07
68,p03.60_J-0.12_v01.00e-01.npy,3.6,-0.12,0.1,200,0.05,0.4,2,10,0.01,1.6493895941768225e-07
69,p03.60_J-0.16_v01.00e-01.npy,3.6,-0.16,0.1,200,0.05,0.4,2,10,0.01,1.8043470683675071e-07
70,p03.70_J-0.00_v01.00e-01.npy,3.7,-0.0,0.1,200,0.05,0.4,2,10,0.01,1.0588127578933526e-11
71,p03.70_J-0.04_v01.00e-01.npy,3.7,-0.04,0.1,200,0.05,0.4,2,10,0.01,3.5698756852169927e-08
72,p03.70_J-0.08_v01.00e-01.npy,3.7,-0.08,0.1,200,0.05,0.4,2,10,0.01,1.3970071155945512e-07
73,p03.70_J-0.12_v01.00e-01.npy,3.7,-0.12,0.1,200,0.05,0.4,2,10,0.01,1.7113359590879297e-07
74,p03.70_J-0.16_v01.00e-01.npy,3.7,-0.16,0.1,200,0.05,0.4,2,10,0.01,1.472372180573248e-07
75,p03.80_J-0.00_v01.00e-01.npy,3.8,-0.0,0.1,200,0.05,0.4,2,10,0.01,1.8285972507817544e-10
76,p03.80_J-0.04_v01.00e-01.npy,3.8,-0.04,0.1,200,0.05,0.4,2,10,0.01,8.037485753615998e-08
77,p03.80_J-0.08_v01.00e-01.npy,3.8,-0.08,0.1,200,0.05,0.4,2,10,0.01,1.0473720282809778e-07
78,p03.80_J-0.12_v01.00e-01.npy,3.8,-0.12,0.1,200,0.05,0.4,2,10,0.01,1.7151638281568124e-07
79,p03.80_J-0.16_v01.00e-01.npy,3.8,-0.16,0.1,200,0.05,0.4,2,10,0.01,1.6778447122754442e-07
80,p03.90_J-0.00_v01.00e-01.npy,3.9,-0.0,0.1,200,0.05,0.4,2,10,0.01,1.0200586822075989e-09
81,p03.90_J-0.04_v01.00e-01.npy,3.9,-0.04,0.1,200,0.05,0.4,2,10,0.01,1.2129643180803778e-07
