Condition,SpotName,days,area (um2)
5000 cell/mm2,missingLabel2,3,8789.887
5000 cell/mm2,missingLabel2,4,2022.956
5000 cell/mm2,missingLabel2,5,1852.002
5000 cell/mm2,missingLabel2,6,926.001
5000 cell/mm2,missingLabel2,7,341.908
5000 cell/mm2,missingLabel3,1,954.493
5000 cell/mm2,missingLabel3,2,1937.479
5000 cell/mm2,missingLabel3,3,4402.067
5000 cell/mm2,missingLabel3,4,3575.789
5000 cell/mm2,missingLabel3,5,997.232
5000 cell/mm2,missingLabel3,6,1552.833
5000 cell/mm2,missingLabel3,7,812.032
5000 cell/mm2,missingLabel3,8,341.908
clone 5cc,xy01,0,128.216
clone 5cc,xy01,1,0
clone 5cc,xy01,2,1453.109
clone 5cc,xy01,3,10129.027
clone 5cc,xy01,4,14246
clone 5cc,xy01,5,0
clone 5cc,xy01,6,413.139
clone 5cc,xy01,7,28.492
clone 5cc,xy01,8,270.677
clone 5cc,missingLabel4,0,883.263
clone 5cc,missingLabel4,1,85.477
clone 5cc,missingLabel4,2,11112.013
clone 5cc,missingLabel4,3,21540.21
clone 5cc,missingLabel4,4,797.786
clone 5cc,missingLabel4,5,1780.771
clone 5cc,missingLabel4,6,1652.556
clone 5cc,missingLabel4,7,0
clone 5cc,missingLabel4,8,0
clone 5cc,missingLabel5,0,85.477
clone 5cc,missingLabel5,1,1624.063
clone 5cc,missingLabel5,2,9445.211
clone 5cc,missingLabel5,3,12308.692
clone 5cc,missingLabel5,4,1039.97
clone 5cc,missingLabel5,5,1253.663
clone 5cc,missingLabel5,6,755.047
clone 5cc,missingLabel5,7,56.985
clone 5cc,missingLabel5,8,0
clone 5cc,missingLabel6,0,997.232
clone 5cc,missingLabel6,1,1310.648
clone 5cc,missingLabel6,2,7863.886
clone 5cc,missingLabel6,3,4359.328
clone 5cc,missingLabel6,4,0
clone 5cc,missingLabel6,5,327.662
clone 5cc,missingLabel6,6,470.124
clone 5cc,missingLabel6,7,213.693
clone 5cc,missingLabel6,8,256.431
clone 5cc,missingLabel7,0,213.693
clone 5cc,missingLabel7,1,28.492
clone 5cc,missingLabel7,2,3034.434
clone 5cc,missingLabel7,3,12622.107
clone 5cc,missingLabel7,4,869.016
clone 5cc,missingLabel7,5,1552.833
clone 5cc,missingLabel7,6,1424.617
clone 5cc,missingLabel7,7,0
clone 5cc,missingLabel7,8,0
self propagation 25a2,XY16 A,0,142.462
self propagation 25a2,XY16 A,1,185.2
self propagation 25a2,XY16 A,2,7422.255
self propagation 25a2,XY16 A,3,11083.521
self propagation 25a2,XY16 A,4,14174.94
self propagation 25a2,XY16 A,5,22209.78
self propagation 25a2,XY16 A,6,8946.595
self propagation 25a2,XY16 A,7,2977.45
self propagation 25a2,XY16 A,8,2977.45
self propagation 25a2,missingLabel8,0,0
self propagation 25a2,missingLabel8,1,170.954
self propagation 25a2,missingLabel8,2,1039.97
self propagation 25a2,missingLabel8,3,11510.906
self propagation 25a2,missingLabel8,4,9787.119
self propagation 25a2,missingLabel8,5,19730.947
self propagation 25a2,missingLabel8,6,8576.195
self propagation 25a2,missingLabel8,7,3048.681
self propagation 25a2,missingLabel8,8,3048.681
