.,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP
.,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d
Distance (um),unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized
132.10,77.23,0.75,83.82,0.72,93.82,0.75,100.72,0.75,101.80,0.76,8.02,0.58,10.13,0.33,7.64,0.16,7.18,0.07,5.07,0.05
135.88,74.83,0.72,83.75,0.72,96.13,0.77,102.14,0.76,107.48,0.80,8.44,0.62,10.16,0.34,8.55,0.19,7.15,0.07,4.94,0.04
139.65,76.01,0.74,85.84,0.74,98.72,0.79,105.70,0.79,107.62,0.81,8.57,0.63,10.26,0.34,9.84,0.25,7.10,0.07,5.42,0.06
143.43,75.07,0.73,83.52,0.72,99.89,0.80,105.98,0.79,109.36,0.82,8.41,0.61,10.90,0.37,10.56,0.27,7.42,0.08,6.11,0.07
147.20,73.24,0.71,81.01,0.70,93.95,0.75,99.98,0.74,107.25,0.80,8.61,0.63,11.71,0.41,11.04,0.29,7.13,0.07,6.15,0.07
150.98,69.41,0.67,77.52,0.67,93.99,0.75,101.01,0.75,106.51,0.80,8.95,0.67,11.74,0.41,10.95,0.29,6.88,0.07,6.29,0.08
154.75,69.75,0.68,79.55,0.68,92.86,0.74,102.94,0.77,107.93,0.81,9.10,0.68,11.48,0.40,10.24,0.26,7.17,0.07,6.61,0.09
158.53,73.64,0.71,86.40,0.75,94.51,0.75,103.87,0.77,106.63,0.80,9.03,0.67,12.36,0.43,9.85,0.25,7.96,0.09,6.77,0.09
162.30,76.49,0.74,88.75,0.77,97.22,0.78,103.78,0.77,109.07,0.82,9.07,0.68,12.88,0.46,9.87,0.25,8.57,0.11,6.57,0.08
166.07,78.92,0.76,89.65,0.77,101.73,0.81,101.87,0.76,113.62,0.86,9.15,0.69,14.20,0.52,10.66,0.28,9.34,0.13,6.99,0.09
169.85,80.92,0.78,86.74,0.75,100.19,0.80,108.67,0.81,114.45,0.86,9.65,0.73,14.20,0.52,12.69,0.36,9.51,0.13,7.63,0.11
173.62,84.24,0.82,91.02,0.79,97.84,0.78,111.19,0.84,112.03,0.84,10.06,0.77,13.98,0.51,13.62,0.39,9.19,0.12,8.32,0.13
177.40,87.75,0.85,92.15,0.80,99.05,0.79,115.04,0.87,111.22,0.84,10.56,0.82,14.34,0.52,13.27,0.38,9.26,0.13,8.25,0.13
181.17,90.18,0.87,97.92,0.85,103.08,0.82,113.59,0.85,108.05,0.81,11.30,0.89,14.45,0.53,12.72,0.36,9.62,0.13,7.85,0.12
184.95,87.69,0.85,106.06,0.92,102.24,0.82,120.90,0.92,108.79,0.82,11.43,0.90,14.16,0.52,12.12,0.33,10.60,0.16,8.26,0.13
188.72,87.49,0.85,108.07,0.93,101.59,0.81,123.68,0.94,109.94,0.83,11.38,0.90,15.18,0.56,12.27,0.34,10.80,0.16,9.09,0.15
192.49,86.68,0.84,106.63,0.92,103.40,0.83,117.69,0.89,113.05,0.85,11.67,0.93,16.09,0.60,12.79,0.36,10.02,0.14,8.65,0.14
196.27,87.22,0.85,103.59,0.90,106.70,0.85,110.97,0.83,118.18,0.89,10.78,0.84,16.96,0.64,12.83,0.36,9.54,0.13,9.08,0.15
200.04,90.35,0.88,100.09,0.86,104.48,0.84,112.60,0.85,112.08,0.84,10.14,0.78,17.01,0.64,13.04,0.37,10.45,0.16,9.03,0.15
203.82,94.86,0.92,102.91,0.89,107.40,0.86,113.78,0.86,106.96,0.80,11.32,0.89,16.58,0.62,13.03,0.37,11.72,0.19,8.58,0.13
207.59,90.63,0.88,98.66,0.85,111.00,0.89,118.61,0.90,110.48,0.83,11.70,0.93,16.47,0.62,14.02,0.41,11.69,0.19,8.09,0.12
211.37,87.46,0.85,102.29,0.88,110.18,0.88,119.24,0.90,114.51,0.86,11.43,0.90,16.52,0.62,13.71,0.40,11.94,0.19,7.68,0.11
215.14,79.86,0.77,101.60,0.88,110.35,0.89,117.97,0.89,118.59,0.90,10.92,0.86,17.11,0.65,12.97,0.37,12.44,0.21,6.39,0.08
