.,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP
.,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d
Distance (um),unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized
1441.80,51.14,0.50,70.03,0.60,87.70,0.70,111.07,0.83,117.36,0.89,6.39,0.42,18.88,0.73,15.40,0.46,13.09,0.22,7.45,0.11
1445.60,54.91,0.53,68.63,0.59,89.47,0.71,112.99,0.85,115.53,0.87,6.63,0.44,19.49,0.76,14.82,0.44,13.89,0.24,6.70,0.09
1449.40,61.21,0.59,74.39,0.64,91.78,0.73,117.23,0.89,112.65,0.85,6.86,0.47,19.60,0.76,13.81,0.40,13.93,0.24,7.00,0.09
1453.10,64.24,0.62,80.46,0.69,93.28,0.74,116.52,0.88,113.67,0.86,7.28,0.51,19.82,0.77,13.64,0.39,12.21,0.20,7.59,0.11
1456.90,62.32,0.60,85.30,0.74,91.14,0.72,119.27,0.90,118.54,0.90,7.12,0.49,20.51,0.80,12.81,0.36,10.48,0.16,7.72,0.11
1460.70,60.58,0.59,83.67,0.72,85.40,0.68,120.33,0.91,118.02,0.89,7.03,0.48,20.93,0.82,12.90,0.37,9.74,0.14,7.42,0.11
1464.50,56.80,0.55,78.08,0.67,88.40,0.70,117.62,0.89,118.55,0.90,6.97,0.48,20.29,0.79,13.69,0.40,10.42,0.16,7.15,0.10
1468.20,52.94,0.51,72.38,0.62,94.92,0.76,121.15,0.92,115.09,0.87,7.50,0.53,20.31,0.79,14.93,0.45,10.03,0.15,6.55,0.08
1472.00,54.41,0.53,71.18,0.61,97.12,0.77,120.80,0.91,113.11,0.85,7.97,0.57,20.34,0.79,15.46,0.47,10.11,0.15,7.12,0.10
1475.80,52.30,0.51,72.32,0.62,97.52,0.78,119.46,0.90,116.85,0.88,8.31,0.61,19.40,0.75,16.12,0.49,9.72,0.14,7.83,0.12
1479.60,52.46,0.51,76.67,0.66,97.81,0.78,120.33,0.91,119.38,0.90,8.38,0.61,19.45,0.75,15.72,0.48,10.24,0.15,7.69,0.11
1483.30,53.54,0.52,74.98,0.64,98.35,0.78,116.82,0.88,115.30,0.87,8.65,0.64,18.84,0.73,14.52,0.43,10.94,0.17,8.22,0.13
1487.10,56.46,0.55,76.29,0.66,97.02,0.77,111.98,0.84,114.86,0.87,8.67,0.64,17.06,0.65,13.14,0.38,11.81,0.19,7.79,0.11
1490.90,55.74,0.54,78.07,0.67,99.27,0.79,114.05,0.86,116.25,0.88,8.52,0.63,16.16,0.61,11.92,0.33,12.20,0.20,7.80,0.11
1494.70,56.62,0.55,78.58,0.68,101.78,0.81,114.60,0.86,124.38,0.95,8.38,0.61,15.94,0.60,11.69,0.32,12.82,0.22,7.82,0.12
1498.40,59.46,0.58,81.78,0.70,104.33,0.83,115.03,0.87,126.03,0.96,8.51,0.62,16.10,0.60,11.80,0.32,11.97,0.19,7.01,0.10
1502.20,62.06,0.60,82.71,0.71,106.16,0.85,116.18,0.88,125.98,0.96,8.23,0.60,16.26,0.61,11.96,0.33,10.66,0.16,6.64,0.09
1506.00,62.82,0.61,85.03,0.73,99.68,0.80,117.70,0.89,119.87,0.91,8.04,0.58,16.12,0.60,12.24,0.34,10.73,0.16,6.65,0.09
1509.80,61.41,0.59,82.11,0.71,92.21,0.73,117.73,0.89,119.10,0.90,8.00,0.58,15.57,0.58,12.29,0.34,10.43,0.16,7.37,0.10
1513.50,61.21,0.59,83.26,0.72,92.42,0.74,119.72,0.91,121.74,0.92,8.20,0.59,14.93,0.55,11.99,0.33,10.18,0.15,8.34,0.13
1517.30,58.54,0.57,82.12,0.71,96.17,0.77,121.27,0.92,119.53,0.91,7.81,0.56,14.05,0.51,11.57,0.31,10.67,0.16,8.63,0.14
1521.10,54.60,0.53,80.83,0.70,95.46,0.76,118.24,0.89,117.44,0.89,7.31,0.51,14.28,0.52,11.99,0.33,9.03,0.12,8.90,0.14
1524.90,54.76,0.53,79.89,0.69,93.82,0.75,113.75,0.86,115.17,0.87,6.95,0.47,14.71,0.54,11.99,0.33,9.03,0.12,9.43,0.16
1528.60,53.34,0.52,83.97,0.72,96.29,0.77,113.52,0.85,117.27,0.89,6.76,0.46,15.23,0.56,12.28,0.34,9.87,0.14,9.30,0.15
1532.40,46.57,0.45,89.21,0.77,95.81,0.76,115.89,0.87,117.15,0.89,6.32,0.41,14.17,0.52,12.36,0.34,11.06,0.17,8.47,0.13
1536.20,39.02,0.38,90.85,0.78,94.29,0.75,119.48,0.90,114.68,0.87,6.29,0.41,13.32,0.48,13.14,0.38,11.35,0.18,8.28,0.13
1540.00,35.88,0.35,84.03,0.72,87.99,0.70,116.69,0.88,115.22,0.87,6.21,0.40,12.62,0.45,13.84,0.40,11.44,0.18,8.12,0.12
1543.70,33.08,0.32,81.30,0.70,85.74,0.68,117.39,0.89,117.00,0.88,6.23,0.40,11.98,0.42,12.99,0.37,11.45,0.18,7.92,0.12
1547.50,30.30,0.29,76.14,0.66,82.07,0.65,119.58,0.90,113.77,0.86,6.37,0.42,12.73,0.45,12.43,0.35,11.25,0.18,7.50,0.11
1551.30,28.14,0.27,75.58,0.65,78.19,0.62,109.48,0.82,107.52,0.81,6.20,0.40,13.44,0.48,11.43,0.31,11.11,0.17,7.22,0.10
1555.10,29.37,0.28,70.97,0.61,75.19,0.59,108.76,0.81,105.95,0.79,6.22,0.40,14.22,0.52,10.69,0.28,10.48,0.16,6.80,0.09
1558.80,29.29,0.28,71.21,0.61,76.68,0.60,107.11,0.80,101.81,0.76,5.97,0.38,14.55,0.53,11.29,0.30,9.93,0.14,6.29,0.08
1562.60,27.04,0.26,65.59,0.56,75.11,0.59,108.43,0.81,102.00,0.76,5.95,0.38,15.24,0.56,11.75,0.32,9.76,0.14,6.30,0.08
1566.40,27.45,0.27,63.75,0.55,73.62,0.58,108.33,0.81,108.75,0.82,5.98,0.38,15.55,0.58,13.00,0.37,10.24,0.15,6.87,0.09
1570.20,29.53,0.29,64.22,0.55,71.94,0.56,106.73,0.80,107.44,0.80,5.61,0.35,15.33,0.57,14.44,0.43,11.07,0.17,7.35,0.10
1573.90,32.78,0.32,63.74,0.55,75.79,0.60,104.73,0.78,106.20,0.79,5.52,0.34,15.21,0.56,15.09,0.45,10.61,0.16,7.98,0.12
1577.70,35.97,0.35,59.19,0.51,75.81,0.60,100.77,0.75,113.28,0.85,5.75,0.36,15.34,0.57,15.37,0.46,10.04,0.15,9.26,0.15
1581.50,38.00,0.37,56.27,0.48,78.27,0.62,102.74,0.77,112.72,0.85,5.88,0.37,15.37,0.57,16.30,0.50,11.37,0.18,9.32,0.15
1585.30,40.76,0.39,55.54,0.47,79.08,0.62,100.54,0.75,103.13,0.77,6.34,0.42,16.28,0.61,16.96,0.53,13.12,0.22,8.65,0.14
1589.00,41.10,0.40,54.92,0.47,77.18,0.61,100.28,0.74,100.71,0.75,6.30,0.41,16.50,0.62,17.64,0.55,13.14,0.22,8.06,0.12
1592.80,38.90,0.38,58.21,0.50,79.40,0.63,101.53,0.76,104.53,0.78,6.22,0.40,17.14,0.65,18.34,0.58,12.11,0.20,7.84,0.12
1596.60,38.19,0.37,62.72,0.54,80.35,0.63,101.69,0.76,108.86,0.82,6.06,0.39,18.63,0.72,18.24,0.58,12.20,0.20,8.48,0.13
1600.30,39.94,0.39,66.53,0.57,78.15,0.62,103.85,0.77,112.24,0.84,5.86,0.37,19.02,0.73,16.93,0.52,12.59,0.21,9.03,0.15
1604.10,42.18,0.41,67.30,0.58,78.69,0.62,113.35,0.85,110.13,0.83,6.11,0.39,18.19,0.70,15.95,0.49,12.32,0.20,10.01,0.17
1607.90,41.96,0.41,66.78,0.57,82.38,0.65,113.24,0.85,113.62,0.86,6.47,0.43,17.03,0.65,15.82,0.48,11.24,0.18,10.29,0.18
1611.70,43.82,0.42,70.01,0.60,85.96,0.68,109.91,0.82,111.74,0.84,6.43,0.42,16.36,0.61,15.49,0.47,11.51,0.18,10.55,0.18
1615.40,46.63,0.45,71.58,0.62,89.79,0.71,108.99,0.82,112.57,0.85,6.45,0.43,16.84,0.64,15.69,0.48,11.85,0.19,10.17,0.17
1619.20,47.14,0.46,69.77,0.60,91.64,0.73,116.25,0.88,111.56,0.84,6.33,0.41,16.40,0.62,15.14,0.45,12.79,0.22,9.71,0.16
1623.00,46.65,0.45,71.06,0.61,90.21,0.72,116.66,0.88,106.72,0.80,6.35,0.42,16.04,0.60,14.76,0.44,13.28,0.23,9.34,0.15
1626.80,46.14,0.45,70.38,0.60,88.29,0.70,112.58,0.85,107.77,0.81,6.70,0.45,16.32,0.61,14.64,0.43,13.12,0.22,9.15,0.15
1630.50,47.36,0.46,68.90,0.59,86.23,0.68,110.12,0.83,110.39,0.83,6.63,0.44,16.45,0.62,14.05,0.41,12.46,0.21,9.12,0.15
1634.30,45.52,0.44,69.94,0.60,86.26,0.68,110.67,0.83,111.78,0.84,7.07,0.49,16.61,0.63,14.38,0.42,11.70,0.19,9.16,0.15
1638.10,41.48,0.40,71.30,0.61,82.09,0.65,111.95,0.84,108.73,0.82,7.27,0.50,17.59,0.67,14.42,0.43,11.62,0.19,9.17,0.15
1641.90,43.07,0.42,74.18,0.64,75.71,0.60,108.97,0.82,107.86,0.81,7.16,0.49,18.29,0.70,14.47,0.43,11.30,0.18,9.12,0.15
1645.60,43.52,0.42,76.40,0.66,72.76,0.57,109.13,0.82,111.64,0.84,7.27,0.50,18.45,0.71,14.50,0.43,12.19,0.20,9.42,0.15
1649.40,41.70,0.40,72.27,0.62,70.70,0.55,114.28,0.86,116.60,0.88,7.31,0.51,18.08,0.69,14.00,0.41,12.22,0.20,9.40,0.15
1653.20,38.90,0.38,72.08,0.62,74.24,0.58,111.78,0.84,116.51,0.88,8.05,0.58,18.35,0.70,13.43,0.39,11.30,0.18,8.53,0.13
1657.00,36.24,0.35,72.58,0.62,69.67,0.54,113.00,0.85,115.39,0.87,8.72,0.64,18.54,0.71,14.59,0.43,10.58,0.16,8.58,0.13
1660.70,36.47,0.35,69.71,0.60,69.51,0.54,110.31,0.83,117.07,0.89,8.93,0.66,19.16,0.74,15.87,0.48,10.98,0.17,9.83,0.16
1664.50,38.52,0.37,66.25,0.57,70.82,0.55,104.13,0.78,111.66,0.84,8.90,0.66,20.43,0.80,17.12,0.53,11.68,0.19,11.14,0.20
1668.30,40.35,0.39,65.70,0.56,74.82,0.59,104.72,0.78,113.18,0.85,8.99,0.67,21.01,0.82,18.20,0.58,12.65,0.21,12.20,0.22
1672.10,39.89,0.39,68.54,0.59,75.73,0.60,110.53,0.83,111.19,0.84,8.92,0.66,21.47,0.85,18.87,0.60,13.28,0.23,11.87,0.22
1675.80,41.41,0.40,70.75,0.61,77.99,0.61,113.08,0.85,114.89,0.87,8.81,0.65,21.50,0.85,18.10,0.57,13.21,0.23,12.34,0.23
1679.60,42.74,0.41,73.35,0.63,82.81,0.65,115.19,0.87,120.79,0.92,8.95,0.67,22.05,0.87,16.63,0.51,14.46,0.26,12.28,0.23
1683.40,44.15,0.43,73.02,0.63,81.58,0.64,117.79,0.89,121.64,0.92,8.77,0.65,22.81,0.91,15.66,0.47,15.29,0.28,11.54,0.21
1687.20,43.34,0.42,72.65,0.62,80.88,0.64,113.56,0.85,120.31,0.91,8.68,0.64,21.83,0.86,15.55,0.47,15.92,0.29,12.12,0.22
1690.90,40.16,0.39,69.01,0.59,81.51,0.64,114.42,0.86,119.83,0.91,8.20,0.59,20.52,0.80,15.65,0.47,16.32,0.31,11.94,0.22
1694.70,37.32,0.36,69.11,0.59,87.03,0.69,110.07,0.83,120.25,0.91,8.25,0.60,19.25,0.75,15.12,0.45,16.49,0.31,10.83,0.19
1698.50,37.42,0.36,69.83,0.60,85.82,0.68,110.51,0.83,113.84,0.86,8.53,0.63,18.18,0.70,15.35,0.46,16.67,0.31,10.24,0.18
1702.30,37.96,0.37,73.91,0.64,82.97,0.66,110.95,0.83,108.17,0.81,8.12,0.59,17.52,0.67,16.69,0.52,15.83,0.29,9.61,0.16
1706.00,38.92,0.38,78.36,0.67,86.39,0.68,110.63,0.83,104.37,0.78,7.87,0.56,18.38,0.71,17.57,0.55,14.86,0.27,8.93,0.14
1709.80,41.49,0.40,79.57,0.69,85.10,0.67,111.55,0.84,104.54,0.78,7.28,0.51,20.61,0.81,17.20,0.54,14.30,0.25,8.50,0.13
1713.60,43.22,0.42,76.59,0.66,83.87,0.66,112.40,0.85,101.74,0.76,6.75,0.46,22.04,0.87,16.28,0.50,13.78,0.24,8.65,0.14
1717.40,46.11,0.45,73.46,0.63,79.56,0.63,115.72,0.87,98.30,0.73,6.72,0.45,21.94,0.87,16.97,0.53,14.67,0.26,8.15,0.12
1721.10,45.91,0.44,72.25,0.62,78.16,0.62,114.54,0.86,98.94,0.73,6.72,0.45,21.57,0.85,17.14,0.53,14.66,0.26,7.86,0.12
1724.90,47.06,0.46,71.53,0.61,77.73,0.61,113.49,0.85,99.08,0.73,6.81,0.46,20.33,0.79,16.91,0.52,14.05,0.25,7.41,0.11
1728.70,45.98,0.45,71.51,0.61,78.32,0.62,111.98,0.84,102.78,0.77,7.02,0.48,19.38,0.75,16.33,0.50,14.60,0.26,7.52,0.11
1732.50,47.37,0.46,74.85,0.64,80.67,0.64,107.66,0.81,106.25,0.79,6.51,0.43,20.65,0.81,15.64,0.47,14.46,0.26,7.88,0.12
1736.20,48.89,0.47,80.49,0.69,84.93,0.67,102.80,0.77,110.45,0.83,6.59,0.44,22.14,0.88,15.20,0.46,12.24,0.20,8.10,0.12
1740.00,48.99,0.47,78.52,0.68,82.59,0.65,99.35,0.74,111.59,0.84,6.52,0.43,23.12,0.92,13.56,0.39,10.79,0.16,8.21,0.12
1743.80,46.97,0.45,75.08,0.65,75.49,0.59,97.08,0.72,111.97,0.84,6.51,0.43,21.48,0.85,14.04,0.41,10.63,0.16,8.33,0.13
1747.60,45.38,0.44,70.15,0.60,74.91,0.59,98.01,0.73,113.07,0.85,6.26,0.41,20.16,0.79,15.16,0.45,11.58,0.18,8.30,0.13
1751.30,40.66,0.39,70.32,0.60,77.77,0.61,96.76,0.72,113.20,0.85,5.96,0.38,19.97,0.78,15.73,0.48,11.89,0.19,8.05,0.12
1755.10,42.07,0.41,70.96,0.61,77.30,0.61,95.08,0.70,110.57,0.83,6.25,0.41,18.70,0.72,15.76,0.48,12.85,0.22,7.70,0.11
1758.90,44.30,0.43,65.29,0.56,75.59,0.59,94.11,0.69,110.56,0.83,6.31,0.41,17.34,0.66,15.93,0.49,13.06,0.22,7.58,0.11
1762.60,46.93,0.45,65.37,0.56,80.01,0.63,102.29,0.76,111.03,0.83,6.90,0.47,17.70,0.68,16.47,0.51,12.92,0.22,6.88,0.09
1766.40,47.38,0.46,66.38,0.57,80.63,0.64,107.64,0.81,108.85,0.82,6.80,0.46,19.41,0.75,16.85,0.52,12.21,0.20,6.82,0.09
1770.20,44.94,0.43,67.67,0.58,77.43,0.61,106.24,0.79,104.61,0.78,6.55,0.44,21.20,0.83,16.51,0.51,11.54,0.18,6.99,0.09
1774.00,39.86,0.39,70.58,0.61,72.97,0.57,108.57,0.81,103.16,0.77,6.40,0.42,21.39,0.84,17.26,0.54,11.64,0.19,6.94,0.09
1777.70,37.03,0.36,73.62,0.63,73.59,0.58,111.83,0.84,108.38,0.81,6.47,0.43,22.30,0.88,17.15,0.53,10.85,0.17,7.03,0.10
1781.50,36.07,0.35,75.48,0.65,74.36,0.58,108.40,0.81,109.87,0.82,6.99,0.48,21.44,0.84,16.81,0.52,10.77,0.16,7.24,0.10
1785.30,39.07,0.38,74.13,0.64,75.31,0.59,106.64,0.80,106.86,0.80,7.41,0.52,19.25,0.75,15.34,0.46,10.89,0.17,7.10,0.10
1789.10,40.06,0.39,71.67,0.62,73.62,0.58,104.32,0.78,108.51,0.81,7.04,0.48,16.99,0.64,15.16,0.46,11.00,0.17,6.81,0.09
1792.80,40.90,0.40,68.42,0.59,73.71,0.58,103.23,0.77,113.19,0.85,6.58,0.44,14.67,0.54,15.20,0.46,11.12,0.17,7.13,0.10
1796.60,43.66,0.42,69.25,0.59,81.75,0.65,106.17,0.79,110.13,0.83,6.57,0.44,13.51,0.49,14.84,0.44,11.34,0.18,7.64,0.11
1800.40,48.73,0.47,71.57,0.62,83.06,0.66,112.75,0.85,115.69,0.87,6.51,0.43,14.67,0.54,14.24,0.42,11.72,0.19,8.36,0.13
1804.20,50.96,0.49,75.78,0.65,78.52,0.62,112.58,0.85,117.56,0.89,6.62,0.44,16.06,0.60,13.56,0.39,10.56,0.16,9.32,0.15
1807.90,48.53,0.47,79.66,0.69,83.56,0.66,114.55,0.86,119.03,0.90,6.26,0.41,15.60,0.58,12.91,0.37,9.70,0.14,9.81,0.16
1811.70,45.91,0.44,78.70,0.68,85.50,0.68,117.63,0.89,115.60,0.87,6.21,0.40,16.22,0.61,13.23,0.38,9.62,0.13,9.07,0.15
1815.50,45.06,0.44,78.67,0.68,87.97,0.70,114.38,0.86,118.24,0.89,6.12,0.39,17.12,0.65,12.79,0.36,9.65,0.14,9.11,0.15
1819.30,45.64,0.44,79.96,0.69,90.63,0.72,117.07,0.88,116.97,0.88,5.96,0.38,16.67,0.63,13.14,0.38,10.21,0.15,8.26,0.13
1823.00,47.22,0.46,82.58,0.71,88.97,0.71,117.40,0.89,111.03,0.83,6.04,0.39,16.29,0.61,13.72,0.40,11.11,0.17,7.35,0.10
1826.80,46.75,0.45,85.39,0.74,93.12,0.74,115.51,0.87,113.72,0.86,5.94,0.38,17.20,0.65,13.98,0.41,11.33,0.18,6.73,0.09
1830.60,47.54,0.46,88.60,0.76,93.27,0.74,110.18,0.83,110.33,0.83,6.14,0.40,17.04,0.65,13.51,0.39,11.75,0.19,6.49,0.08
1834.40,49.38,0.48,87.97,0.76,90.84,0.72,109.26,0.82,101.94,0.76,5.97,0.38,17.29,0.66,13.91,0.41,12.55,0.21,6.67,0.09
1838.10,46.95,0.45,82.97,0.71,93.04,0.74,111.68,0.84,101.37,0.75,6.09,0.39,17.12,0.65,14.19,0.42,13.34,0.23,7.09,0.10
1841.90,44.58,0.43,85.19,0.73,93.67,0.75,114.11,0.86,108.28,0.81,6.05,0.39,17.39,0.66,13.41,0.39,12.29,0.20,7.10,0.10
1845.70,45.56,0.44,86.76,0.75,92.98,0.74,109.13,0.82,114.91,0.87,6.28,0.41,17.10,0.65,13.28,0.38,11.87,0.19,7.51,0.11
1849.50,47.33,0.46,84.62,0.73,93.53,0.74,109.25,0.82,110.48,0.83,6.41,0.42,15.70,0.59,14.04,0.41,11.65,0.19,8.03,0.12
1853.20,44.98,0.44,82.71,0.71,89.87,0.71,108.86,0.82,106.92,0.80,6.50,0.43,14.60,0.54,14.69,0.44,11.17,0.17,8.76,0.14
1857.00,43.01,0.42,81.17,0.70,86.20,0.68,112.47,0.85,113.38,0.85,6.34,0.42,13.64,0.49,14.59,0.43,10.99,0.17,9.31,0.15
1860.80,40.27,0.39,83.03,0.72,89.47,0.71,115.06,0.87,118.55,0.90,5.99,0.38,12.42,0.44,16.57,0.51,12.45,0.21,9.64,0.16
1864.60,40.80,0.39,84.68,0.73,98.29,0.78,110.22,0.83,116.81,0.88,6.09,0.39,11.76,0.41,17.59,0.55,14.00,0.25,8.01,0.12
1868.30,38.76,0.38,83.87,0.72,94.83,0.76,103.77,0.77,120.29,0.91,6.37,0.42,12.30,0.43,17.50,0.55,14.25,0.25,7.04,0.10
1872.10,37.43,0.36,80.82,0.70,94.70,0.75,107.34,0.80,119.33,0.90,6.04,0.39,13.15,0.47,17.09,0.53,14.78,0.27,7.22,0.10
1875.90,40.23,0.39,75.68,0.65,94.66,0.75,109.28,0.82,117.51,0.89,6.31,0.41,13.75,0.50,15.65,0.47,14.99,0.27,6.77,0.09
1879.70,41.15,0.40,73.66,0.63,89.22,0.71,115.80,0.87,119.96,0.91,6.07,0.39,14.31,0.52,15.21,0.46,14.57,0.26,6.70,0.09
1883.40,42.52,0.41,73.23,0.63,88.99,0.71,116.52,0.88,122.06,0.93,5.72,0.36,14.62,0.54,14.92,0.45,12.79,0.22,7.00,0.10
1887.20,43.68,0.42,74.27,0.64,85.61,0.68,116.40,0.88,124.38,0.95,5.67,0.35,14.82,0.55,14.63,0.43,12.23,0.20,7.26,0.10
1891.00,43.24,0.42,76.83,0.66,87.28,0.69,117.76,0.89,124.40,0.95,5.67,0.35,16.16,0.61,15.04,0.45,12.01,0.20,6.89,0.09
1894.80,40.51,0.39,77.24,0.66,86.24,0.68,117.02,0.88,126.93,0.97,5.52,0.34,18.45,0.71,15.97,0.49,12.61,0.21,7.27,0.10
1898.50,41.72,0.40,76.55,0.66,87.97,0.70,115.64,0.87,124.98,0.95,5.44,0.33,18.05,0.69,16.79,0.52,13.20,0.23,8.14,0.12
1902.30,43.53,0.42,75.82,0.65,84.63,0.67,113.95,0.86,122.36,0.93,5.29,0.31,17.81,0.68,16.53,0.51,12.48,0.21,8.60,0.13
1906.10,46.29,0.45,77.95,0.67,83.81,0.66,112.31,0.84,117.13,0.89,5.31,0.32,19.30,0.75,16.27,0.50,11.31,0.18,9.03,0.15
1909.90,44.24,0.43,79.28,0.68,86.36,0.68,113.03,0.85,111.95,0.84,5.51,0.34,20.34,0.79,15.72,0.48,12.04,0.20,9.11,0.15
1913.60,43.68,0.42,77.59,0.67,82.78,0.65,121.00,0.92,110.36,0.83,5.68,0.35,19.68,0.76,16.64,0.51,11.97,0.19,7.52,0.11
1917.40,45.60,0.44,78.77,0.68,80.96,0.64,119.36,0.90,105.78,0.79,6.49,0.43,18.65,0.72,16.96,0.53,11.75,0.19,6.68,0.09
1921.20,42.90,0.42,73.76,0.63,80.36,0.63,112.62,0.85,107.80,0.81,6.88,0.47,18.43,0.71,15.47,0.47,11.05,0.17,6.72,0.09
1924.90,43.41,0.42,71.83,0.62,78.04,0.61,113.16,0.85,110.85,0.83,6.60,0.44,17.93,0.69,14.79,0.44,11.13,0.17,7.01,0.10
1928.70,43.48,0.42,71.06,0.61,75.27,0.59,116.67,0.88,106.94,0.80,6.41,0.42,17.39,0.66,14.40,0.43,11.51,0.18,7.57,0.11
1932.50,43.32,0.42,70.88,0.61,73.78,0.58,116.38,0.88,98.19,0.73,6.14,0.40,17.43,0.66,14.28,0.42,10.50,0.16,8.11,0.12
1936.30,40.65,0.39,71.42,0.61,73.20,0.57,106.52,0.80,97.10,0.72,6.01,0.38,16.89,0.64,14.53,0.43,10.30,0.15,8.29,0.13
1940.00,39.38,0.38,69.76,0.60,73.45,0.58,104.48,0.78,100.43,0.75,5.78,0.36,15.77,0.59,14.71,0.44,10.28,0.15,8.48,0.13
1943.80,40.11,0.39,70.97,0.61,72.85,0.57,101.19,0.75,105.55,0.79,6.23,0.40,15.30,0.57,14.66,0.44,10.51,0.16,8.30,0.13
1947.60,39.80,0.39,68.58,0.59,76.69,0.60,102.13,0.76,102.34,0.76,6.49,0.43,14.67,0.54,14.83,0.44,10.64,0.16,8.61,0.13
1951.40,39.13,0.38,64.57,0.55,78.19,0.62,104.77,0.78,102.21,0.76,6.27,0.41,15.49,0.58,15.91,0.48,11.17,0.17,9.09,0.15
1955.10,38.85,0.38,63.01,0.54,78.43,0.62,107.21,0.80,103.36,0.77,5.99,0.38,17.06,0.65,15.05,0.45,12.81,0.22,9.35,0.15
1958.90,37.13,0.36,62.33,0.53,76.00,0.60,106.85,0.80,101.90,0.76,5.50,0.33,16.61,0.63,13.95,0.41,14.45,0.26,10.15,0.17
1962.70,35.53,0.34,66.21,0.57,73.82,0.58,103.74,0.77,99.83,0.74,5.69,0.35,17.07,0.65,13.62,0.39,17.38,0.33,10.98,0.19
1966.50,33.75,0.33,64.07,0.55,75.22,0.59,100.08,0.74,103.34,0.77,5.78,0.36,17.54,0.67,14.08,0.41,17.93,0.35,10.48,0.18
1970.20,33.85,0.33,65.45,0.56,73.79,0.58,98.87,0.73,104.30,0.78,5.91,0.37,17.89,0.68,14.88,0.44,15.89,0.29,10.21,0.17
1974.00,35.25,0.34,67.75,0.58,76.64,0.60,100.85,0.75,100.44,0.75,5.85,0.37,19.39,0.75,15.50,0.47,14.23,0.25,9.90,0.17
1977.80,35.80,0.35,72.07,0.62,79.16,0.62,103.78,0.77,101.35,0.75,6.16,0.40,20.05,0.78,15.68,0.48,12.92,0.22,9.92,0.17
1981.60,36.44,0.35,75.36,0.65,80.49,0.64,99.93,0.74,104.84,0.78,6.75,0.46,18.52,0.71,16.38,0.50,11.93,0.19,9.03,0.15
1985.30,37.32,0.36,73.12,0.63,82.71,0.65,98.21,0.73,109.97,0.83,6.94,0.47,17.09,0.65,16.69,0.52,11.38,0.18,8.77,0.14
1989.10,38.67,0.37,71.13,0.61,86.43,0.68,98.52,0.73,108.98,0.82,6.69,0.45,17.21,0.65,15.83,0.48,10.62,0.16,9.33,0.15
1992.90,38.53,0.37,67.85,0.58,83.75,0.66,99.16,0.74,107.16,0.80,6.31,0.41,16.59,0.63,14.90,0.44,10.38,0.15,9.32,0.15
1996.70,34.94,0.34,68.08,0.58,78.34,0.62,98.96,0.73,111.30,0.84,6.17,0.40,15.29,0.57,14.69,0.44,11.04,0.17,9.45,0.16
2000.40,31.66,0.31,71.80,0.62,73.02,0.57,100.89,0.75,106.62,0.80,6.10,0.39,14.20,0.52,13.83,0.40,12.24,0.20,9.52,0.16
2004.20,30.06,0.29,73.42,0.63,66.61,0.52,104.39,0.78,110.19,0.83,6.28,0.41,13.94,0.51,13.36,0.38,11.82,0.19,9.67,0.16
2008.00,30.25,0.29,70.94,0.61,64.35,0.50,107.63,0.81,110.50,0.83,6.75,0.45,14.83,0.55,12.86,0.36,12.32,0.20,9.49,0.16
2011.80,30.03,0.29,71.16,0.61,59.37,0.46,108.86,0.82,113.46,0.85,6.61,0.44,15.87,0.59,13.01,0.37,13.93,0.24,9.31,0.15
2015.50,27.85,0.27,72.33,0.62,57.21,0.44,104.90,0.78,108.63,0.81,6.06,0.39,16.77,0.63,13.00,0.37,16.01,0.30,9.39,0.15
2019.30,25.64,0.25,73.64,0.63,55.75,0.43,103.53,0.77,108.78,0.82,5.69,0.35,17.06,0.65,13.54,0.39,16.75,0.32,8.90,0.14
2023.10,26.49,0.26,63.53,0.54,53.94,0.41,102.80,0.77,108.15,0.81,5.16,0.30,15.91,0.59,13.30,0.38,15.84,0.29,8.49,0.13
2026.90,27.49,0.27,57.45,0.49,53.74,0.41,104.45,0.78,108.95,0.82,4.99,0.29,15.04,0.56,12.66,0.36,14.82,0.27,8.17,0.12
2030.60,27.60,0.27,58.06,0.50,54.04,0.41,107.99,0.81,105.85,0.79,5.37,0.32,15.49,0.58,12.68,0.36,12.28,0.20,8.01,0.12
2034.40,29.66,0.29,54.97,0.47,55.29,0.42,100.53,0.75,108.26,0.81,5.56,0.34,14.81,0.54,12.23,0.34,11.61,0.19,8.21,0.12
2038.20,32.27,0.31,51.65,0.44,58.08,0.45,93.57,0.69,108.39,0.81,5.24,0.31,13.19,0.47,12.63,0.36,11.48,0.18,8.21,0.13
2042.00,35.16,0.34,52.55,0.45,63.82,0.50,91.22,0.67,108.42,0.81,5.16,0.30,13.04,0.47,13.68,0.40,11.85,0.19,9.12,0.15
2045.70,35.95,0.35,54.57,0.47,70.72,0.55,90.44,0.66,106.92,0.80,5.41,0.33,13.08,0.47,13.87,0.40,12.02,0.20,9.78,0.16
