,condition,g_inv_days,rho_max_inv_mm2,sigma,g_ratio,rho_max_ratio,doubling_time_days,doubling_time_hours
0,FGF2,1.3611605554224873,6094.414864419971,1100.1958800238629,1.6039614582585684,4.875531891535977,0.5092324911992481,12.221579788781952
1,RI,0.14891039698310846,6094.414864419971,503.8344558336909,0.1754727144739762,4.875531891535977,4.6547937189273085,111.7150492542554
2,untreated,0.8486242287269847,6094.414864419971,902.768693701563,1.0,4.875531891535977,0.8167892891765894,19.602942940238144
