,cell,step,time,X_coord,Y_coord
0,000:00:---------------,0,0.0,-0.230546276001279,0.3849300988401096
1,001:00:---------------,0,0.0,-0.25492654205926213,0.6975659017431697
2,002:00:---------------,0,0.0,0.6554512341082457,-0.5581964036635617
3,003:00:---------------,0,0.0,-1.0394300552097482,-0.39797333967569465
4,004:00:---------------,0,0.0,0.5866791019245715,-1.077785132808761
5,005:00:---------------,0,0.0,0.39965386465413233,1.171574242490511
6,006:00:---------------,0,0.0,-0.7381496533875909,-1.0518791439612567
7,007:00:---------------,0,0.0,1.4024085637512054,-0.8912464857759675
8,008:00:---------------,0,0.0,-0.8804235176991011,-1.4426333339816788
9,009:00:---------------,0,0.0,-1.5544003690186072,-0.8492337536708369
10,010:00:---------------,0,0.0,-1.5730556439643348,0.821172426143834
11,011:00:---------------,0,0.0,1.5214499040187495,0.9938439568849732
12,012:00:---------------,0,0.0,-1.8499923712145674,-0.0205704914721863
13,013:00:---------------,0,0.0,-1.0697606521581025,1.544432328956824
14,014:00:---------------,0,0.0,0.6217055699229597,1.8219271602146698
15,015:00:---------------,0,0.0,0.45085475134573183,-1.999325182143235
16,016:00:---------------,0,0.0,0.06862493237457135,-2.063220100729377
17,017:00:---------------,0,0.0,-0.24937957829568178,2.1566979420275953
18,018:00:---------------,0,0.0,0.6336456959682573,2.2930338861439408
19,019:00:---------------,0,0.0,-0.4676899231857865,-2.387818079524381
20,020:00:---------------,0,0.0,2.4398649525709533,0.27285922941731217
21,021:00:---------------,0,0.0,-1.9374447953014737,-1.6903413282001338
22,022:00:---------------,0,0.0,1.7409607617558966,1.9035322475085539
23,023:00:---------------,0,0.0,2.4300004471558436,0.9020440902256616
24,024:00:---------------,0,0.0,-2.4923007013750023,-0.7555780825721481
25,025:00:---------------,0,0.0,-2.335018421700631,1.1881003618382677
26,026:00:---------------,0,0.0,0.5222597725047259,-2.5693685946542995
27,027:00:---------------,0,0.0,-0.7532416521766214,2.6809612690349796
28,028:00:---------------,0,0.0,2.6913158877059598,-1.0277543435834058
29,029:00:---------------,0,0.0,2.239772789154812,-1.8188264566583563
30,030:00:---------------,0,0.0,2.9317334784707043,-0.5087113612840928
31,031:00:---------------,0,0.0,1.592305887308851,-2.6955852384285297
32,032:00:---------------,0,0.0,-1.4095654788193763,-2.8601882754931616
33,033:00:---------------,0,0.0,-2.693751784684124,1.7509558594063517
34,034:00:---------------,0,0.0,-2.375862233028585,-2.2358243816538046
35,035:00:---------------,0,0.0,1.1075461512798266,-3.121560998347657
36,036:00:---------------,0,0.0,-3.328387700331929,0.13061194077854452
