,frame,avg. speed,movie,plating density,replicate,time (hr),density
86,60,1.2953993252723104,10000 cells C.avi,10000,C,60,265
87,70,1.331551904038396,10000 cells C.avi,10000,C,70,267
88,80,1.53934675448444,10000 cells C.avi,10000,C,80,300
89,90,1.3902791798952432,10000 cells C.avi,10000,C,90,580
90,100,1.1758877660243727,10000 cells C.avi,10000,C,100,698
91,110,1.3025354321417748,10000 cells C.avi,10000,C,110,663
92,120,1.1461940928615315,10000 cells C.avi,10000,C,120,706
93,130,0.9147483960068252,10000 cells C.avi,10000,C,130,585
94,140,0.8595389251388893,10000 cells C.avi,10000,C,140,650
95,150,0.726981446607068,10000 cells C.avi,10000,C,150,601
96,0,1.4509009924809062,160000 cells A.avi,160000,A,0,479
97,10,0.988241657905386,160000 cells A.avi,160000,A,10,533
98,20,0.90874384699486,160000 cells A.avi,160000,A,20,556
99,30,1.557278240968341,160000 cells A.avi,160000,A,30,400
100,40,1.1539195221650902,160000 cells A.avi,160000,A,40,757
101,50,0.7762750419406187,160000 cells A.avi,160000,A,50,585
102,60,0.4853704423136403,160000 cells A.avi,160000,A,60,593
103,70,0.26821198478243524,160000 cells A.avi,160000,A,70,756
104,80,0.36086698796782907,160000 cells A.avi,160000,A,80,738
105,90,0.4335495394985599,160000 cells A.avi,160000,A,90,900
106,100,0.32987606263810904,160000 cells A.avi,160000,A,100,614
107,110,0.24304072913344435,160000 cells A.avi,160000,A,110,449
108,120,0.1885535456874234,160000 cells A.avi,160000,A,120,901
109,130,0.35759095540017,160000 cells A.avi,160000,A,130,137
110,140,0.2533532906656448,160000 cells A.avi,160000,A,140,202
111,150,0.2711924043896581,160000 cells A.avi,160000,A,150,214
112,0,1.3513351979304786,160000 cells B.avi,160000,B,0,402
113,10,0.8303715059416682,160000 cells B.avi,160000,B,10,327
114,20,0.8764548049078617,160000 cells B.avi,160000,B,20,405
115,30,1.859215270988244,160000 cells B.avi,160000,B,30,325
116,40,1.2370597307911393,160000 cells B.avi,160000,B,40,327
117,50,0.8739515833788402,160000 cells B.avi,160000,B,50,682
118,60,0.5964897975727428,160000 cells B.avi,160000,B,60,541
119,70,0.4116256052548285,160000 cells B.avi,160000,B,70,533
