,cell,gene_0,gene_1,step,time,X_coord,Y_coord,k_0,k_1
565,565,3.8461538461538463,96.43366619115548,2,2,5.5,0.0,20.0,20.0
594,594,3.8461538461538463,96.43366619115548,2,2,6.5,0.0,20.0,20.0
623,623,3.8461538461538463,96.43366619115548,2,2,7.5,0.0,20.0,20.0
652,652,3.8461538461538463,96.43366619115548,2,2,8.5,0.0,20.0,20.0
681,681,3.8461538461538463,96.43366619115548,2,2,9.5,0.0,20.0,20.0
710,710,3.8461538461538463,96.43366619115548,2,2,10.5,0.0,20.0,20.0
739,739,3.8461538461538463,96.43366619115548,2,2,11.5,0.0,20.0,20.0
768,768,3.8461538461538463,96.43366619115548,2,2,12.5,0.0,20.0,20.0
797,797,3.8461538461538463,96.43366619115548,2,2,13.5,0.0,20.0,20.0
14,14,4.1239443324036715,96.43366619115548,3,3,-13.5,0.0,20.0,20.0
43,43,4.123944332403672,96.43366619115548,3,3,-12.5,0.0,20.0,20.0
72,72,4.123944332403672,96.43366619115548,3,3,-11.5,0.0,20.0,20.0
101,101,4.123944332403672,96.43366619115548,3,3,-10.5,0.0,20.0,20.0
130,130,4.123944332403672,96.43366619115548,3,3,-9.5,0.0,20.0,20.0
159,159,4.123944332403672,96.43366619115548,3,3,-8.5,0.0,20.0,20.0
188,188,4.123944332403672,96.43366619115548,3,3,-7.5,0.0,20.0,20.0
217,217,4.123944332403672,96.43366619115548,3,3,-6.5,0.0,20.0,20.0
246,246,4.123944332403672,96.43366619115548,3,3,-5.5,0.0,20.0,20.0
275,275,4.123944332403672,96.43366619115548,3,3,-4.5,0.0,20.0,20.0
304,304,4.124659722761363,96.4198237818717,3,3,-3.5,0.0,20.0,20.0
333,333,4.30018934184774,96.01679261428447,3,3,-2.5,0.0,20.0,20.0
362,362,7.092952291795,69.99639836352283,3,3,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,3,3,-0.5,0.0,20.0,20.0
420,420,7.092952291795,69.99639836352283,3,3,0.5,0.0,20.0,20.0
449,449,4.30018934184774,96.01679261428447,3,3,1.5,0.0,20.0,20.0
478,478,4.124659722761364,96.4198237818717,3,3,2.5,0.0,20.0,20.0
507,507,4.123944332403672,96.43366619115548,3,3,3.5,0.0,20.0,20.0
536,536,4.123944332403672,96.43366619115548,3,3,4.5,0.0,20.0,20.0
565,565,4.123944332403672,96.43366619115548,3,3,5.5,0.0,20.0,20.0
594,594,4.123944332403672,96.43366619115548,3,3,6.5,0.0,20.0,20.0
623,623,4.123944332403672,96.43366619115548,3,3,7.5,0.0,20.0,20.0
652,652,4.123944332403672,96.43366619115548,3,3,8.5,0.0,20.0,20.0
681,681,4.123944332403672,96.43366619115548,3,3,9.5,0.0,20.0,20.0
710,710,4.123944332403672,96.43366619115548,3,3,10.5,0.0,20.0,20.0
739,739,4.123944332403672,96.43366619115548,3,3,11.5,0.0,20.0,20.0
768,768,4.123944332403672,96.43366619115548,3,3,12.5,0.0,20.0,20.0
797,797,4.123944332403672,96.43366619115548,3,3,13.5,0.0,20.0,20.0
14,14,4.1239443324036715,95.92167032025371,4,4,-13.5,0.0,20.0,20.0
43,43,4.123944332403672,95.92167032025371,4,4,-12.5,0.0,20.0,20.0
72,72,4.123944332403672,95.92167032025371,4,4,-11.5,0.0,20.0,20.0
101,101,4.123944332403672,95.92167032025371,4,4,-10.5,0.0,20.0,20.0
130,130,4.123944332403672,95.92167032025371,4,4,-9.5,0.0,20.0,20.0
159,159,4.123944332403672,95.92167032025371,4,4,-8.5,0.0,20.0,20.0
188,188,4.123944332403672,95.92167032025371,4,4,-7.5,0.0,20.0,20.0
217,217,4.123944332403672,95.92167032025371,4,4,-6.5,0.0,20.0,20.0
246,246,4.123944332403672,95.92167032025371,4,4,-5.5,0.0,20.0,20.0
275,275,4.124038926073581,95.92155721553416,4,4,-4.5,0.0,20.0,20.0
304,304,4.127938838100213,95.89239981794535,4,4,-3.5,0.0,20.0,20.0
333,333,4.340893038872584,95.14113381995601,4,4,-2.5,0.0,20.0,20.0
362,362,7.42686112363165,66.58705114528473,4,4,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,4,4,-0.5,0.0,20.0,20.0
420,420,7.42686112363165,66.58705114528473,4,4,0.5,0.0,20.0,20.0
449,449,4.340893038872583,95.14113381995601,4,4,1.5,0.0,20.0,20.0
478,478,4.127938838100214,95.89239981794535,4,4,2.5,0.0,20.0,20.0
507,507,4.124038926073582,95.92155721553416,4,4,3.5,0.0,20.0,20.0
536,536,4.123944332403672,95.92167032025371,4,4,4.5,0.0,20.0,20.0
565,565,4.123944332403672,95.92167032025371,4,4,5.5,0.0,20.0,20.0
594,594,4.123944332403672,95.92167032025371,4,4,6.5,0.0,20.0,20.0
623,623,4.123944332403672,95.92167032025371,4,4,7.5,0.0,20.0,20.0
652,652,4.123944332403672,95.92167032025371,4,4,8.5,0.0,20.0,20.0
681,681,4.123944332403672,95.92167032025371,4,4,9.5,0.0,20.0,20.0
710,710,4.123944332403672,95.92167032025371,4,4,10.5,0.0,20.0,20.0
739,739,4.123944332403672,95.92167032025371,4,4,11.5,0.0,20.0,20.0
768,768,4.123944332403672,95.92167032025371,4,4,12.5,0.0,20.0,20.0
797,797,4.123944332403672,95.92167032025371,4,4,13.5,0.0,20.0,20.0
14,14,4.1662470747981875,95.92167032025371,5,5,-13.5,0.0,20.0,20.0
43,43,4.16624707479819,95.92167032025371,5,5,-12.5,0.0,20.0,20.0
72,72,4.16624707479819,95.92167032025371,5,5,-11.5,0.0,20.0,20.0
101,101,4.16624707479819,95.92167032025371,5,5,-10.5,0.0,20.0,20.0
130,130,4.16624707479819,95.92167032025371,5,5,-9.5,0.0,20.0,20.0
159,159,4.16624707479819,95.92167032025371,5,5,-8.5,0.0,20.0,20.0
188,188,4.16624707479819,95.92167032025371,5,5,-7.5,0.0,20.0,20.0
217,217,4.16624707479819,95.92167032025371,5,5,-6.5,0.0,20.0,20.0
246,246,4.166247859448808,95.92165536487413,5,5,-5.5,0.0,20.0,20.0
275,275,4.166461150062086,95.9208281257153,5,5,-4.5,0.0,20.0,20.0
304,304,4.174112802858885,95.88012919785562,5,5,-3.5,0.0,20.0,20.0
333,333,4.435700904115709,95.01461574971898,5,5,-2.5,0.0,20.0,20.0
362,362,7.946996060584824,65.84257238763033,5,5,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,5,5,-0.5,0.0,20.0,20.0
420,420,7.946996060584824,65.84257238763036,5,5,0.5,0.0,20.0,20.0
449,449,4.435700904115709,95.01461574971898,5,5,1.5,0.0,20.0,20.0
478,478,4.174112802858885,95.88012919785562,5,5,2.5,0.0,20.0,20.0
507,507,4.166461150062086,95.92082812571529,5,5,3.5,0.0,20.0,20.0
536,536,4.166247859448808,95.92165536487413,5,5,4.5,0.0,20.0,20.0
565,565,4.16624707479819,95.92167032025371,5,5,5.5,0.0,20.0,20.0
594,594,4.16624707479819,95.92167032025371,5,5,6.5,0.0,20.0,20.0
623,623,4.16624707479819,95.92167032025371,5,5,7.5,0.0,20.0,20.0
652,652,4.16624707479819,95.92167032025371,5,5,8.5,0.0,20.0,20.0
681,681,4.16624707479819,95.92167032025371,5,5,9.5,0.0,20.0,20.0
710,710,4.16624707479819,95.92167032025371,5,5,10.5,0.0,20.0,20.0
739,739,4.16624707479819,95.92167032025371,5,5,11.5,0.0,20.0,20.0
768,768,4.16624707479819,95.92167032025371,5,5,12.5,0.0,20.0,20.0
797,797,4.16624707479819,95.92167032025371,5,5,13.5,0.0,20.0,20.0
14,14,4.1662470747981875,95.8410691269574,6,6,-13.5,0.0,20.0,20.0
43,43,4.16624707479819,95.8410691269574,6,6,-12.5,0.0,20.0,20.0
72,72,4.16624707479819,95.8410691269574,6,6,-11.5,0.0,20.0,20.0
101,101,4.16624707479819,95.8410691269574,6,6,-10.5,0.0,20.0,20.0
130,130,4.16624707479819,95.8410691269574,6,6,-9.5,0.0,20.0,20.0
159,159,4.16624707479819,95.8410691269574,6,6,-8.5,0.0,20.0,20.0
188,188,4.16624707479819,95.8410691269574,6,6,-7.5,0.0,20.0,20.0
217,217,4.166247178549353,95.84106900184122,6,6,-6.5,0.0,20.0,20.0
246,246,4.166254586095171,95.8410329863289,6,6,-5.5,0.0,20.0,20.0
275,275,4.16660912896355,95.83934232267505,6,6,-4.5,0.0,20.0,20.0
304,304,4.175923659256033,95.78377569254933,6,6,-3.5,0.0,20.0,20.0
333,333,4.450965076868191,94.75160682967713,6,6,-2.5,0.0,20.0,20.0
362,362,8.064902020190974,64.6705480045114,6,6,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,6,6,-0.5,0.0,20.0,20.0
420,420,8.064902020190974,64.6705480045114,6,6,0.5,0.0,20.0,20.0
449,449,4.450965076868191,94.75160682967713,6,6,1.5,0.0,20.0,20.0
478,478,4.175923659256033,95.78377569254933,6,6,2.5,0.0,20.0,20.0
507,507,4.166609128963551,95.83934232267505,6,6,3.5,0.0,20.0,20.0
536,536,4.166254586095171,95.8410329863289,6,6,4.5,0.0,20.0,20.0
565,565,4.166247178549353,95.84106900184122,6,6,5.5,0.0,20.0,20.0
594,594,4.16624707479819,95.8410691269574,6,6,6.5,0.0,20.0,20.0
623,623,4.16624707479819,95.8410691269574,6,6,7.5,0.0,20.0,20.0
652,652,4.16624707479819,95.8410691269574,6,6,8.5,0.0,20.0,20.0
681,681,4.16624707479819,95.8410691269574,6,6,9.5,0.0,20.0,20.0
710,710,4.16624707479819,95.8410691269574,6,6,10.5,0.0,20.0,20.0
739,739,4.16624707479819,95.8410691269574,6,6,11.5,0.0,20.0,20.0
768,768,4.16624707479819,95.8410691269574,6,6,12.5,0.0,20.0,20.0
797,797,4.16624707479819,95.8410691269574,6,6,13.5,0.0,20.0,20.0
14,14,4.172965004730451,95.8410691269574,7,7,-13.5,0.0,20.0,20.0
43,43,4.172965004730453,95.8410691269574,7,7,-12.5,0.0,20.0,20.0
72,72,4.172965004730453,95.8410691269574,7,7,-11.5,0.0,20.0,20.0
101,101,4.172965004730453,95.8410691269574,7,7,-10.5,0.0,20.0,20.0
130,130,4.172965004730453,95.8410691269574,7,7,-9.5,0.0,20.0,20.0
159,159,4.172965004730453,95.8410691269574,7,7,-8.5,0.0,20.0,20.0
188,188,4.172965005600501,95.84106911041378,7,7,-7.5,0.0,20.0,20.0
217,217,4.172965271734231,95.84106763008315,7,7,-6.5,0.0,20.0,20.0
246,246,4.172980929762467,95.84099475879266,7,7,-5.5,0.0,20.0,20.0
275,275,4.1735140445432775,95.83877577854109,7,7,-4.5,0.0,20.0,20.0
304,304,4.185148209456011,95.77819521107574,7,7,-3.5,0.0,20.0,20.0
333,333,4.480744417998141,94.70393991751614,7,7,-2.5,0.0,20.0,20.0
362,362,8.259171797299947,64.41075497307607,7,7,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,7,7,-0.5,0.0,20.0,20.0
420,420,8.259171797299947,64.41075497307607,7,7,0.5,0.0,20.0,20.0
449,449,4.480744417998141,94.70393991751614,7,7,1.5,0.0,20.0,20.0
478,478,4.185148209456011,95.77819521107574,7,7,2.5,0.0,20.0,20.0
507,507,4.1735140445432775,95.83877577854109,7,7,3.5,0.0,20.0,20.0
536,536,4.172980929762469,95.84099475879266,7,7,4.5,0.0,20.0,20.0
565,565,4.172965271734231,95.84106763008315,7,7,5.5,0.0,20.0,20.0
594,594,4.172965005600501,95.84106911041378,7,7,6.5,0.0,20.0,20.0
623,623,4.172965004730453,95.8410691269574,7,7,7.5,0.0,20.0,20.0
652,652,4.172965004730453,95.8410691269574,7,7,8.5,0.0,20.0,20.0
681,681,4.172965004730453,95.8410691269574,7,7,9.5,0.0,20.0,20.0
710,710,4.172965004730453,95.8410691269574,7,7,10.5,0.0,20.0,20.0
739,739,4.172965004730453,95.8410691269574,7,7,11.5,0.0,20.0,20.0
768,768,4.172965004730453,95.8410691269574,7,7,12.5,0.0,20.0,20.0
797,797,4.172965004730453,95.8410691269574,7,7,13.5,0.0,20.0,20.0
14,14,4.172965004730451,95.82820603113265,8,8,-13.5,0.0,20.0,20.0
43,43,4.172965004730453,95.82820603113265,8,8,-12.5,0.0,20.0,20.0
72,72,4.172965004730453,95.82820603113265,8,8,-11.5,0.0,20.0,20.0
101,101,4.172965004730453,95.82820603113265,8,8,-10.5,0.0,20.0,20.0
130,130,4.172965004730453,95.82820603113265,8,8,-9.5,0.0,20.0,20.0
159,159,4.172965004845496,95.82820603099374,8,8,-8.5,0.0,20.0,20.0
188,188,4.172965017450047,95.82820598571827,8,8,-7.5,0.0,20.0,20.0
217,217,4.172965679001366,95.82820275294459,8,8,-6.5,0.0,20.0,20.0
246,246,4.172988222537537,95.828083497454,8,8,-5.5,0.0,20.0,20.0
275,275,4.173598012315719,95.82515454491781,8,8,-4.5,0.0,20.0,20.0
304,304,4.1858984325761615,95.75715978603507,8,8,-3.5,0.0,20.0,20.0
333,333,4.486427762270067,94.61551029208347,8,8,-2.5,0.0,20.0,20.0
362,362,8.302662036300271,63.98091992864193,8,8,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,8,8,-0.5,0.0,20.0,20.0
420,420,8.302662036300271,63.98091992864193,8,8,0.5,0.0,20.0,20.0
449,449,4.486427762270064,94.61551029208347,8,8,1.5,0.0,20.0,20.0
478,478,4.1858984325761615,95.75715978603507,8,8,2.5,0.0,20.0,20.0
507,507,4.173598012315719,95.82515454491782,8,8,3.5,0.0,20.0,20.0
536,536,4.172988222537537,95.82808349745399,8,8,4.5,0.0,20.0,20.0
565,565,4.172965679001366,95.82820275294459,8,8,5.5,0.0,20.0,20.0
594,594,4.172965017450047,95.82820598571827,8,8,6.5,0.0,20.0,20.0
623,623,4.172965004845496,95.82820603099374,8,8,7.5,0.0,20.0,20.0
652,652,4.172965004730453,95.82820603113265,8,8,8.5,0.0,20.0,20.0
681,681,4.172965004730453,95.82820603113265,8,8,9.5,0.0,20.0,20.0
710,710,4.172965004730453,95.82820603113265,8,8,10.5,0.0,20.0,20.0
739,739,4.172965004730453,95.82820603113265,8,8,11.5,0.0,20.0,20.0
768,768,4.172965004730453,95.82820603113265,8,8,12.5,0.0,20.0,20.0
797,797,4.172965004730453,95.82820603113265,8,8,13.5,0.0,20.0,20.0
14,14,4.174038596608609,95.82820603113265,9,9,-13.5,0.0,20.0,20.0
43,43,4.17403859660861,95.82820603113265,9,9,-12.5,0.0,20.0,20.0
72,72,4.17403859660861,95.82820603113265,9,9,-11.5,0.0,20.0,20.0
101,101,4.17403859660861,95.82820603113265,9,9,-10.5,0.0,20.0,20.0
130,130,4.174038596609576,95.82820603111428,9,9,-9.5,0.0,20.0,20.0
159,159,4.174038596945824,95.82820602869607,9,9,-8.5,0.0,20.0,20.0
188,188,4.174038625364995,95.8282058904431,9,9,-7.5,0.0,20.0,20.0
217,217,4.174039787147192,95.82820071449086,9,9,-6.5,0.0,20.0,20.0
246,246,4.17407134939309,95.828056009153,9,9,-5.5,0.0,20.0,20.0
275,275,4.174789805539519,95.8248837169494,9,9,-4.5,0.0,20.0,20.0
304,304,4.1881207706578385,95.75495404453171,9,9,-3.5,0.0,20.0,20.0
333,333,4.496700013944157,94.5976408802483,9,9,-2.5,0.0,20.0,20.0
362,362,8.375874971415818,63.88560672362467,9,9,-1.5,0.0,20.0,20.0
391,391,100.0,0.0,9,9,-0.5,0.0,20.0,20.0
420,420,8.375874971415818,63.88560672362467,9,9,0.5,0.0,20.0,20.0
449,449,4.496700013944157,94.5976408802483,9,9,1.5,0.0,20.0,20.0
478,478,4.1881207706578385,95.75495404453171,9,9,2.5,0.0,20.0,20.0
507,507,4.174789805539519,95.8248837169494,9,9,3.5,0.0,20.0,20.0
536,536,4.174071349393091,95.828056009153,9,9,4.5,0.0,20.0,20.0
565,565,4.174039787147192,95.82820071449086,9,9,5.5,0.0,20.0,20.0
