,frame,avg. speed,movie,plating density,replicate,time (hr)
12,120,1.1461940928615315,10000 cells C.avi,10000,C,120
13,130,0.9147483960068253,10000 cells C.avi,10000,C,130
14,140,0.8595389251388893,10000 cells C.avi,10000,C,140
15,150,0.726981446607068,10000 cells C.avi,10000,C,150
0,0,1.4509009924809062,160000 cells A.avi,160000,A,0
1,10,0.988241657905386,160000 cells A.avi,160000,A,10
2,20,0.9087438469948599,160000 cells A.avi,160000,A,20
3,30,1.557278240968341,160000 cells A.avi,160000,A,30
4,40,1.15391952216509,160000 cells A.avi,160000,A,40
5,50,0.7762750419406187,160000 cells A.avi,160000,A,50
6,60,0.4853704423136403,160000 cells A.avi,160000,A,60
7,70,0.26821198478243524,160000 cells A.avi,160000,A,70
8,80,0.36086698796782907,160000 cells A.avi,160000,A,80
9,90,0.4335495394985599,160000 cells A.avi,160000,A,90
10,100,0.32987606263810904,160000 cells A.avi,160000,A,100
11,110,0.24304072913344435,160000 cells A.avi,160000,A,110
12,120,0.1885535456874234,160000 cells A.avi,160000,A,120
13,130,0.35759095540017,160000 cells A.avi,160000,A,130
14,140,0.2533532906656448,160000 cells A.avi,160000,A,140
15,150,0.2711924043896581,160000 cells A.avi,160000,A,150
0,0,1.3513351979304786,160000 cells B.avi,160000,B,0
1,10,0.8303715059416682,160000 cells B.avi,160000,B,10
2,20,0.8764548049078617,160000 cells B.avi,160000,B,20
3,30,1.8592152709882441,160000 cells B.avi,160000,B,30
4,40,1.2370597307911393,160000 cells B.avi,160000,B,40
5,50,0.8739515833788402,160000 cells B.avi,160000,B,50
6,60,0.5964897975727428,160000 cells B.avi,160000,B,60
7,70,0.4116256052548285,160000 cells B.avi,160000,B,70
8,80,0.5041833282456586,160000 cells B.avi,160000,B,80
9,90,0.4159393039358875,160000 cells B.avi,160000,B,90
10,100,0.36648063960746197,160000 cells B.avi,160000,B,100
11,110,0.31027016920442296,160000 cells B.avi,160000,B,110
12,120,0.20772694923783627,160000 cells B.avi,160000,B,120
13,130,0.4492196105109737,160000 cells B.avi,160000,B,130
14,140,0.17046922275831117,160000 cells B.avi,160000,B,140
15,150,0.30960540413688936,160000 cells B.avi,160000,B,150
0,0,1.3247166902813352,160000 cells C.avi,160000,C,0
1,10,0.9249057472748542,160000 cells C.avi,160000,C,10
2,20,0.5796946959276078,160000 cells C.avi,160000,C,20
3,30,1.1898775548879206,160000 cells C.avi,160000,C,30
4,40,0.8774015962773692,160000 cells C.avi,160000,C,40
5,50,0.5605592625964989,160000 cells C.avi,160000,C,50
6,60,0.4606334219018045,160000 cells C.avi,160000,C,60
7,70,0.29533793831822175,160000 cells C.avi,160000,C,70
8,80,0.27150767428129763,160000 cells C.avi,160000,C,80
9,90,0.3447181253087115,160000 cells C.avi,160000,C,90
10,100,0.28461851294409357,160000 cells C.avi,160000,C,100
11,110,0.42944972985609375,160000 cells C.avi,160000,C,110
12,120,0.214158307282735,160000 cells C.avi,160000,C,120
13,130,0.24039340788452407,160000 cells C.avi,160000,C,130
14,140,0.20573814991416095,160000 cells C.avi,160000,C,140
15,150,0.20900405886822654,160000 cells C.avi,160000,C,150
0,0,1.0358738095318827,20000 cells A.avi,20000,A,0
1,10,1.0303364337816592,20000 cells A.avi,20000,A,10
2,20,1.011680914733022,20000 cells A.avi,20000,A,20
3,30,1.0147437189625794,20000 cells A.avi,20000,A,30
4,40,1.4072421692051038,20000 cells A.avi,20000,A,40
5,50,1.3401398919711127,20000 cells A.avi,20000,A,50
6,60,1.3954390969275021,20000 cells A.avi,20000,A,60
7,70,1.3368967034064305,20000 cells A.avi,20000,A,70
8,80,1.256843979864839,20000 cells A.avi,20000,A,80
9,90,0.9438006054431634,20000 cells A.avi,20000,A,90
10,100,0.8220873084700535,20000 cells A.avi,20000,A,100
11,110,0.9237106602040311,20000 cells A.avi,20000,A,110
12,120,0.691791629046737,20000 cells A.avi,20000,A,120
13,130,0.7279210299553818,20000 cells A.avi,20000,A,130
14,140,0.5503032808181781,20000 cells A.avi,20000,A,140
