step,time,unique_ID,X_coord,Y_coord
0,0.0,000:00:---------------,0.07847612643217766,0.006233160922518109
0,0.0,001:00:---------------,1.5482589673764404,4.848304773814342
0,0.0,002:00:---------------,3.2029918464850256,4.9182869667365186
0,0.0,003:00:---------------,0.8867939017844605,0.5922745306415966
0,0.0,004:00:---------------,2.3794320091658085,0.4054260309140967
0,0.0,005:00:---------------,4.180912356287298,0.46039609122377445
0,0.0,006:00:---------------,4.974638476720111,0.9059679282025798
0,0.0,007:00:---------------,1.7578409596330862,1.0320372039717345
0,0.0,008:00:---------------,3.219818801931053,0.9106938717351447
0,0.0,009:00:---------------,1.045237484023331,1.546524920256182
0,0.0,010:00:---------------,2.7527927884078016,1.4935182005210321
0,0.0,011:00:---------------,4.172974807171627,1.4023007114400974
0,0.0,012:00:---------------,4.922830001107072,1.8439091926964921
0,0.0,013:00:---------------,1.7299309183011358,1.9762290906465478
0,0.0,014:00:---------------,3.367813751055528,2.0118946099711335
0,0.0,015:00:---------------,0.8797482582555675,2.4527063109489324
0,0.0,016:00:---------------,2.628768796372912,2.5600014233113715
0,0.0,017:00:---------------,4.306604917835473,2.4370068125176876
0,0.0,018:00:---------------,0.03729715615578258,3.0232360130482214
0,0.0,019:00:---------------,1.6499678092921795,2.952826494878263
0,0.0,020:00:---------------,3.4095866263936134,3.0451201972234796
0,0.0,021:00:---------------,0.8029055700821668,3.3811491658552
0,0.0,022:00:---------------,2.623666303124711,3.4680233627523656
0,0.0,023:00:---------------,4.266921899601954,3.4974222207277568
0,0.0,024:00:---------------,0.030335351170485907,3.989745903144784
0,0.0,025:00:---------------,1.7436454624990263,3.8988798717761597
0,0.0,026:00:---------------,3.498409522432896,4.00845098144558
0,0.0,027:00:---------------,1.2602994079591918,4.342395066366966
0,0.0,028:00:---------------,2.7603876699934258,4.490491274774874
0,0.0,029:00:---------------,4.529877508211611,4.638275063812803
1,0.02,000:00:---------------,0.0783295997077065,0.006423933967194884
1,0.02,001:00:---------------,1.548226830391879,4.848523101539784
1,0.02,002:00:---------------,3.2024295045735167,4.918130946835595
1,0.02,003:00:---------------,0.8867014195399754,0.5921386162210136
1,0.02,004:00:---------------,2.379028876372469,0.4056089948031423
1,0.02,005:00:---------------,4.1809116860732845,0.46053275605061283
1,0.02,006:00:---------------,4.974698942690318,0.905714969450099
1,0.02,007:00:---------------,1.757600323811547,1.0316994687180874
1,0.02,008:00:---------------,3.219682633094613,0.9106729358377833
1,0.02,009:00:---------------,1.0453590848673577,1.546442545036952
1,0.02,010:00:---------------,2.753072732207551,1.4933511768860959
1,0.02,011:00:---------------,4.173088843888628,1.4023317804877085
1,0.02,012:00:---------------,4.922850103805485,1.8439352505343987
1,0.02,013:00:---------------,1.7299211249700066,1.976269724792458
1,0.02,014:00:---------------,3.367808746703978,2.0118715700163716
1,0.02,015:00:---------------,0.8796010483859132,2.4524323690895247
1,0.02,016:00:---------------,2.628661474101414,2.5600977692139697
1,0.02,017:00:---------------,4.306772270282389,2.4368892489211182
1,0.02,018:00:---------------,0.03712833223941651,3.0231802667339656
1,0.02,019:00:---------------,1.650045998625319,2.9527297094704297
1,0.02,020:00:---------------,3.409607712730956,3.0453250720949163
1,0.02,021:00:---------------,0.802647392912143,3.381052888710911
1,0.02,022:00:---------------,2.6238140684974804,3.467818368860439
1,0.02,023:00:---------------,4.266778058891877,3.497342705730898
1,0.02,024:00:---------------,0.0303018499180143,3.9899200418879253
1,0.02,025:00:---------------,1.7433257678729064,3.898942645405847
1,0.02,026:00:---------------,3.498532041619505,4.008276007609
1,0.02,027:00:---------------,1.2612310440168797,4.341597449062708
1,0.02,028:00:---------------,2.7609430901957848,4.49089193642629
1,0.02,029:00:---------------,4.530500981345127,4.638412060064677
2,0.04,000:00:---------------,0.07817314713459872,0.006607680665986358
2,0.04,001:00:---------------,1.548196524863731,4.848745445100632
2,0.04,002:00:---------------,3.2018661327550006,4.91797405538511
2,0.04,003:00:---------------,0.8866027237397328,0.5919966533200784
2,0.04,004:00:---------------,2.3786179326623813,0.40578511165183057
2,0.04,005:00:---------------,4.180906643888201,0.4606665824460973
2,0.04,006:00:---------------,4.974758917221516,0.9054619814509053
2,0.04,007:00:---------------,1.757361334225689,1.0313615224364174
2,0.04,008:00:---------------,3.2195469106800396,0.9106513137857501
2,0.04,009:00:---------------,1.0454767580269155,1.546356441793238
2,0.04,010:00:---------------,2.7533532050098137,1.4931852282659916
2,0.04,011:00:---------------,4.1732078637852865,1.4023680189321877
2,0.04,012:00:---------------,4.922865351834791,1.8439564479407187
2,0.04,013:00:---------------,1.7299116133691925,1.9763112558142124
2,0.04,014:00:---------------,3.3678020190047984,2.011846190670508
2,0.04,015:00:---------------,0.8794597804153137,2.4521637234807088
2,0.04,016:00:---------------,2.6285533465611715,2.5601939020374505
2,0.04,017:00:---------------,4.306942169278221,2.4367742638482595
2,0.04,018:00:---------------,0.03696279004776955,3.023129258912118
2,0.04,019:00:---------------,1.6501230863324405,2.9526314510373157
2,0.04,020:00:---------------,3.409625074228119,3.0455285134726746
2,0.04,021:00:---------------,0.8023885684196782,3.380957117305843
2,0.04,022:00:---------------,2.6239652806418143,3.467616275686952
2,0.04,023:00:---------------,4.26663383689673,3.4972633464141105
2,0.04,024:00:---------------,0.030269002440359814,3.990092898867034
